date,0050 元大台灣50,0051 元大中型100,0052 富邦科技,0053 元大電子,0055 元大MSCI金融,0056 元大高股息,0057 富邦摩台,0061 元大寶滬深
201001,-6.1113,-7.6897,-6.8493,-7.5828,-9.969,-4.4873,-6.6295,-8.0711
201002,-2.7358,-3.1007,-2.5,-4.142,-3.4334,-2.0134,-2.7066,-0.1105
201003,5.2377,7.1703,5.2187,7.6132,4.7111,4.1098,5.7806,2.7087
201004,1.014,1.6545,0.7452,0.9562,-2.3768,2.3684,2.2541,-4.0365
201005,-8.5767,-8.5633,-8.4665,-8.409,-7.7393,-6.2983,-8.1498,-2.4119
201006,-1.0977,1.1995,-2.9126,-2.8948,3.676,0.137,-3.2364,-5.7473
201007,8.7788,7.8777,8.1332,8.6031,8.8183,9.1322,9.0567,8.6585
201008,-1.113,-0.5317,-3.6376,-3.5685,1.1696,0.0,-1.3442,-2.8059
201009,8.2552,8.8381,8.6053,8.2555,6.3584,5.8577,8.7322,2.5403
201010,0.8598,2.1284,0.7364,0.1129,-1.3199,3.9524,1.0925,9.1779
201011,1.9643,1.0104,3.2165,1.7321,-0.85,1.711,2.0017,-0.2579
201012,7.5308,5.1014,4.8442,4.5211,17.541,4.0001,6.2305,0.6722
201101,2.6058,0.7779,4.0261,2.8593,3.0682,1.1144,2.434,-6.5229
201102,-5.5555,-5.7426,-7.974,-4.9179,-10.1489,-3.6614,-6.6418,1.7583
201103,0.0842,-1.048,-0.5365,-3.298,3.1626,-2.9521,0.6748,1.1879
201104,4.1141,4.1047,2.3272,2.713,3.2844,2.6615,3.7464,-2.1343
201105,-0.0001,1.5897,2.3297,1.4339,-0.5655,2.6297,0.8512,-0.7634
201106,-5.0807,-3.5992,-7.832,-5.4687,-1.5636,0.3247,-4.5123,-2.1979
201107,1.7844,4.1234,-2.9695,-1.4955,4.5489,1.4388,1.7377,-2.8089
201108,-8.9315,-11.8179,-7.5453,-9.0291,-9.8066,-9.8227,-9.4397,-7.5143
201109,-5.3164,-8.5576,-0.3608,-3.3816,-12.2511,-5.6233,-5.4932,-8.5001
201110,4.844,5.762,4.4078,3.3635,6.8934,4.9085,4.4818,4.2352
201111,-7.8926,-11.5749,-7.5615,-6.9306,-14.2662,-6.3969,-8.1101,-3.6698
201112,3.5981,1.8472,2.3859,2.1329,3.5294,2.9288,2.6258,-2.2448
201201,4.2963,9.1945,5.9588,6.848,4.2615,7.4074,5.9345,4.4538
201202,7.7961,8.4202,7.5714,8.4093,7.6297,7.6116,7.179,8.2613
201203,-1.9645,-3.8119,-1.7231,-1.5513,-6.0759,-4.1423,-2.3473,-9.8463
201204,-5.1915,-5.9261,-3.1798,-4.8549,-3.9534,-2.8131,-4.9679,2.1159
201205,-3.6503,-1.5749,-4.6952,-3.9838,-4.9579,-2.7265,-3.9463,-2.3395
201206,0.0996,-0.2001,-0.5554,0.5129,2.1653,0.9055,0.7726,-4.1754
201207,1.7928,2.004,-2.9669,-2.0871,5.7806,2.7776,1.3937,-5.1428
201208,3.2293,1.1789,4.4965,5.4002,0.6375,2.7445,2.9554,-5.3463
201209,4.5498,4.3107,7.5731,4.9888,4.6154,1.1738,4.339,6.8418
201210,-5.298,-8.2278,-3.9999,-6.7209,-8.3911,-10.3163,-5.5022,0.0746
201211,6.25,4.6403,5.8665,7.4818,6.9464,5.7574,6.2964,2.0091
201212,0.4668,3.0001,0.5983,0.2625,2.9838,1.6511,-0.2548,7.2938
201301,1.4869,2.3302,2.0658,1.2227,4.1264,4.302,2.2352,0.8839
201302,1.0988,0.5694,1.6867,0.1725,4.8904,-0.7575,0.7807,-1.8868
201303,-0.1811,0.7924,-0.7236,1.206,2.4116,-1.6114,1.2087,-3.9148
201304,2.3592,2.7704,6.4703,2.7661,-1.3345,3.2759,2.327,-2.7877
201305,0.9751,3.8617,1.1697,2.3186,1.1137,0.7513,1.5558,4.4852
201306,-3.2484,-4.3495,-5.7248,-5.099,-2.2029,-3.0242,-0.4125,-12.8081
201307,2.7222,4.107,-0.9272,1.1088,7.8842,3.8019,-0.0593,-0.242
201308,-1.3249,0.0353,-0.3022,-0.2533,-2.6846,-2.675,-1.7172,3.6407
201309,2.3276,3.662,1.6353,1.0993,3.6783,2.2832,1.8673,1.7175
201310,3.6888,2.5477,3.0989,3.262,4.2867,-0.2095,3.43,-1.3812
201311,-0.6044,-0.8612,-1.0694,-0.9336,0.3652,-2.104,-0.2573,1.5562
201312,1.9981,2.0268,2.0158,2.575,2.6794,1.1404,2.2357,-2.8353
201401,-1.8739,-0.6736,-0.4582,-0.0002,-2.9619,0.0435,-2.4393,-2.9181
201402,1.2153,1.661,2.9343,3.4567,-0.9447,0.3901,1.8391,-2.5183
201403,3.0875,-0.3,5.0307,3.4605,-1.9075,2.1156,2.2008,-2.4166
201404,1.4975,-0.1672,2.1822,2.7683,-2.7673,0.6765,2.0983,-2.3057
201405,3.4426,1.8426,7.216,5.4995,5.6155,4.4938,2.9744,-0.3495
201406,4.5167,1.5789,3.7077,3.9006,2.7674,1.1655,3.4402,0.9648
201407,1.213,1.5221,-2.4252,-1.1947,7.9379,1.1125,1.4978,11.2943
201408,3.6703,1.18,2.7672,4.2142,2.4951,4.2043,3.6519,2.3419
201409,-5.6358,-6.0528,-5.8839,-6.1983,-4.4201,-7.3153,-5.3813,4.3478
201410,2.4585,-2.7181,2.7021,0.7065,2.2788,-0.4886,2.0146,1.6082
201411,3.3693,2.2084,6.861,4.0627,0.1948,0.1706,3.225,4.1008
201412,-0.9631,4.2243,1.2551,0.5217,-1.8804,2.9399,-0.3148,16.6548
201501,1.7203,-0.0996,1.7162,2.3183,-0.5476,2.0281,1.1176,0.5924
201502,3.3824,1.5961,3.281,2.5027,3.3035,1.9879,2.9314,3.357
201503,-1.7783,-0.4912,-4.6744,-1.8805,0.5993,-1.1534,-1.3069,13.1625
201504,3.4756,1.4471,0.6901,-0.1009,12.1192,0.7647,2.4599,11.1281
201505,-0.49,-3.5018,-0.0712,0.976,-2.5989,-1.2781,0.277,5.7998
201506,-2.391,-3.9986,-4.2348,-1.6668,-2.2438,-4.126,-4.5118,-8.1798
201507,-4.6829,-9.0654,-7.0651,-9.5931,-3.1639,-7.3839,-4.5808,-11.9869
201508,-5.8201,-7.0822,-8.7453,-7.3117,-9.0329,-5.33,-5.7351,-14.1496
201509,0.1605,3.8938,2.9711,4.1263,-2.1126,1.2513,-0.3484,0.0001
201510,4.4203,4.8643,5.5164,4.9727,4.7481,7.641,5.3524,8.7037
201511,-3.1646,-2.3939,-1.2332,-2.3649,-3.8379,-2.0774,-4.1359,-1.1358
201512,-0.7353,-0.2015,3.1491,1.9607,-3.9823,3.0177,-0.5859,4.9396
201601,-1.9754,-2.3416,-1.6842,-1.7308,-6.5287,-1.3728,-1.3394,-16.0372
201602,2.8546,1.695,5.0857,3.1314,0.4108,4.3619,3.3669,-2.2164
201603,5.551,1.4226,4.7886,5.1235,4.3372,-0.2669,4.9119,11.0
201604,-4.7177,-3.447,-5.9554,-6.137,-2.6667,-3.7003,-5.7083,-3.6036
201605,2.5162,0.1247,4.3144,3.2308,1.9338,1.6205,1.9383,0.2494
201606,3.6423,2.2803,5.1418,4.7693,-0.0789,2.961,3.2038,-0.4972
201607,6.0258,6.2422,7.0078,6.3302,6.1711,7.8318,7.7486,-1.6864
201608,1.2402,1.1064,0.6831,1.3379,3.8001,1.1487,1.0308,4.0659
201609,2.2335,2.3398,3.8373,2.6733,0.2874,1.8254,1.4477,-3.1134
201610,2.3258,-1.7698,1.4647,0.8036,-0.4297,0.0022,0.9513,1.0712
201611,-1.2397,-0.8647,-4.1082,-2.766,5.8067,-2.2689,-0.4477,4.177
201612,0.1396,-0.2723,-1.3432,-0.5425,1.5427,-0.817,-1.3487,-5.2063
201701,2.0893,3.2384,0.2349,3.8513,-0.0688,2.0372,3.0942,0.1264
201702,2.1599,4.2705,2.5997,3.2492,2.4188,3.9934,1.7916,0.0631
201703,0.7519,1.3776,4.9988,1.3032,1.2145,1.0213,1.3028,-2.7094
201704,1.1533,-0.8222,-0.7825,1.7257,-1.3333,-1.1323,0.2934,-2.8496
201705,2.616,1.4419,4.7045,3.3314,1.0133,1.5543,2.8573,3.1331
201706,5.0982,4.0155,5.1155,4.1191,3.7457,3.0203,5.1181,6.9814
201707,2.0522,2.7334,2.0534,3.4977,2.3211,1.9937,1.3941,1.3295
201708,1.9668,4.7556,1.1067,2.133,1.4493,-0.0002,1.6829,-1.1926
201709,-2.1097,-1.6825,0.597,-1.7087,-1.7392,-0.498,-2.8658,9.5354
201710,4.9262,3.3256,12.0673,6.5121,1.6434,2.2072,5.8591,4.2977
201711,-3.4625,1.0096,0.9709,-3.6011,2.4229,-2.3065,-2.6693,0.898
201712,-0.1215,0.6037,-7.605,-2.1329,1.7523,0.0401,-1.5527,-0.0523
201801,5.6934,2.2734,8.6094,6.7081,4.0592,5.8,6.4113,6.1287
201802,-2.7171,-1.2041,-0.871,-3.8197,-0.6501,-1.8902,-2.5022,-3.7512
201803,0.7287,1.5624,0.0002,0.717,-0.6545,0.0,1.2836,-4.3078
201804,-3.5565,-1.4771,-5.7997,-5.4765,2.9939,-2.1197,-3.879,-0.804
201805,0.9375,5.278,-1.4682,3.0127,0.6395,3.1101,0.7504,0.216
201806,0.8669,-1.7205,-2.4828,-0.2249,0.6356,-2.024,-0.9663,-8.7332
201807,5.9034,2.8372,9.1619,5.1014,2.1239,5.9626,6.199,-0.5316
201808,1.6362,0.0293,2.0204,0.1341,2.6982,2.1698,0.7657,-4.4537
201809,-0.0576,-3.9319,0.3601,-2.6514,2.9557,-1.8,-0.2846,1.2429
201810,-10.7596,-12.2481,-14.26,-12.187,-8.2404,-7.5915,-11.1237,-7.4278
201811,-1.0313,6.6181,4.1003,2.2259,2.1665,2.8598,0.8573,-0.862
201812,-1.6288,-4.3919,-3.316,-3.144,-2.7664,-2.1258,-3.4637,-4.0135
201901,1.5355,3.3569,2.4528,1.869,1.3921,4.0937,2.3551,7.2475
201902,4.4383,5.094,5.4981,6.598,2.209,4.1733,5.054,15.2048
201903,1.9316,2.7975,2.3075,2.4457,1.0514,1.695,2.1084,2.3127
201904,4.6114,3.2279,6.0147,4.3323,2.6011,3.5985,4.2502,3.473
201905,-5.2536,-5.5794,-8.1334,-7.0341,0.1125,-5.1556,-4.7885,-7.7249
201906,3.1228,4.2209,4.4249,3.3425,2.5888,2.506,3.4137,4.0416
201907,3.2117,4.0497,7.0625,6.4395,1.4258,2.2939,3.4181,1.9979
201908,-1.1474,-0.4787,0.6156,-0.0829,-1.4061,0.1838,-1.1331,-2.8837
201909,3.3599,2.4669,4.7205,3.5942,2.5782,2.3119,3.152,0.1682
201910,6.5013,3.5232,9.2654,6.8321,2.3528,5.3895,6.0186,-0.671
201911,1.554,0.9525,1.9098,3.2107,1.5557,0.6164,1.7467,-1.1263
201912,5.9564,2.2094,8.2459,5.9014,1.3878,4.3965,5.6653,4.3847
202001,-4.2293,-2.4741,-3.4627,-4.1972,-1.7367,-3.6245,-3.7367,-7.7468
202002,-1.4454,-2.333,-2.5824,-2.3761,0.0535,-0.0714,-2.3631,9.7574
202003,-14.1003,-15.139,-13.9913,-13.2353,-17.2913,-12.2221,-13.3102,-10.9374
202004,12.2784,17.9101,14.2972,13.9682,11.7798,12.1275,11.8643,4.6582
202005,-1.228,3.044,-2.1621,-1.1027,-0.1158,1.4565,-0.5346,-1.6185
202006,6.4537,7.0375,9.5501,8.2707,3.1882,2.5125,6.2723,7.7555
202007,16.2803,7.4133,29.971,20.2107,1.3484,5.8823,15.4302,13.3039
202008,-1.9268,0.7556,-2.2728,-2.709,0.0553,-0.2645,-1.0955,6.0636
202009,1.1786,-2.6248,2.3823,0.471,-3.3793,-2.2546,-0.443,-5.3993
202010,0.0001,0.3851,0.7201,0.5502,-1.6056,-0.3465,0.7416,3.3574
202011,9.9998,9.1609,10.6712,10.5591,7.0323,5.5755,10.4564,7.3784
202012,7.8992,5.8963,9.5428,8.3567,1.8622,2.0442,7.2,2.2904
202101,7.194,-0.6818,10.8438,9.532,-4.4322,1.0352,8.0221,3.4219
202102,4.0562,7.8946,4.3799,4.2722,6.0289,5.4199,3.0513,0.3267
202103,1.012,6.1505,-1.6077,0.4553,7.7093,8.5579,1.9554,-5.2523
202104,4.3412,12.2876,4.1068,3.6255,6.8527,4.3025,5.2055,1.2034
202105,-2.4893,-3.5589,-3.4735,-3.7899,0.9975,-3.7929,-2.8648,4.2038
202106,1.3493,7.3799,-0.0404,1.212,0.0001,0.7196,2.359,-2.7712
202107,-1.8364,-0.8591,-1.0,0.2247,3.8571,-3.1429,-1.7813,-7.1669
202108,3.1604,-1.2133,2.6668,0.6721,7.3821,-1.5338,2.6668,-1.8511
202109,-2.3512,-0.351,-3.5025,-2.9673,-0.2109,-1.8274,-3.013,2.5299
202110,-0.912,2.465,1.4684,1.8348,1.3527,1.5737,0.2138,1.6149
202111,1.6202,5.1394,2.6527,3.396,1.2517,2.7028,1.8172,-1.8103
202112,5.435,2.2708,5.051,4.0924,5.0528,3.9626,5.407,2.653
202201,-0.5322,-3.2895,-1.2301,-1.6438,1.6977,-3.514,-1.4942,-4.4239
202202,-2.1548,1.7008,-2.415,-3.125,0.7551,2.8702,-2.2245,-1.0081
202203,-0.2888,0.8359,-1.3536,-0.6001,6.4301,0.9001,0.2587,-6.2501
202204,-6.7705,-5.1412,-9.367,-8.5285,-2.7428,-4.8171,-7.5299,-5.6787
202205,0.8155,0.437,3.1646,2.4752,-7.7362,-1.9057,0.8368,0.1571
202206,-10.786,-9.3994,-13.4157,-11.2722,-5.3695,-12.2293,-10.5086,11.7094
202207,3.5063,1.4409,5.1825,3.9929,-1.353,3.5921,3.2757,-6.598
202208,-0.3389,4.9244,0.4023,0.1747,3.5396,0.8408,-0.4786,-2.956
202209,-12.0322,-8.6641,-13.3199,-12.195,-7.8205,-10.455,-11.0044,-5.2658
202210,-4.2533,-2.569,-4.7373,-3.4919,-4.0334,-0.9357,-4.1216,-8.8829
202211,17.466,12.0709,20.1334,17.5419,11.7737,9.2418,16.5609,7.0575
202212,-5.2857,-2.9357,-6.6127,-7.3039,-3.2836,-0.9746,-4.9577,2.9053
202301,9.6627,4.7804,12.6487,11.8678,4.0001,4.4881,9.4147,8.3605
202302,0.4227,5.121,0.3838,2.0869,0.6261,4.258,0.6975,-2.9056
202303,2.3569,2.0372,4.7803,4.3442,-2.7558,2.7468,2.194,-0.6191
202304,-3.4539,-0.3471,-4.8824,-4.5715,1.965,-0.7034,-3.7854,-0.8307
202305,7.4532,8.0139,10.5685,8.9817,3.272,8.0059,6.7526,-6.6492
202306,2.3385,7.0157,4.6889,4.8666,0.5643,7.1501,2.8603,1.1775
202307,1.2274,9.1936,2.584,4.9404,4.6613,12.5128,2.1924,7.0953
202308,-2.4068,-2.1393,-1.8892,-2.9243,-3.7114,-1.2031,-3.3491,-7.091
202309,-2.4264,-1.5515,-2.9525,-2.8655,0.1284,-0.708,-2.4364,-1.0029
202310,-1.223,-5.3008,-0.6172,-1.6644,-1.8394,-3.4347,-1.2767,-3.5453
202311,8.4193,10.3081,9.2726,8.795,6.8409,7.3112,7.9822,-2.2755
202312,2.2081,3.6247,3.8976,2.8341,-0.0836,5.4732,2.9152,-5.2537
