最後結算日,契約月份
2012/10/17,201210
2012/11/21,201211
2012/11/28,201211W4
2012/12/5,201212W1
2012/12/12,201212W2
2012/12/19,201212
2012/12/26,201212W4
2013/1/2,201301W1
2013/1/9,201301W2
2013/1/16,201301
2013/1/23,201301W4
2013/1/30,201301W5
2013/2/6,201302W1
2013/2/18,201302W2
2013/2/20,201302
2013/2/27,201302W4
2013/3/6,201303W1
2013/3/13,201303W2
2013/3/20,201303
2013/3/27,201303W4
2013/4/3,201304W1
2013/4/10,201304W2
2013/4/17,201304
2013/4/24,201304W4
2013/5/2,201305W1
2013/5/8,201305W2
2013/5/15,201305
2013/5/22,201305W4
2013/5/29,201305W5
2013/6/5,201306W1
2013/6/13,201306W2
2013/6/19,201306
2013/6/26,201306W4
2013/7/3,201307W1
2013/7/10,201307W2
2013/7/17,201307
2013/7/24,201307W4
2013/7/31,201307W5
2013/8/7,201308W1
2013/8/14,201308W2
2013/8/22,201308
2013/8/28,201308W4
2013/9/4,201309W1
2013/9/11,201309W2
2013/9/18,201309
2013/9/25,201309W4
2013/10/2,201310W1
2013/10/9,201310W2
2013/10/16,201310
2013/10/23,201310W4
2013/10/30,201310W5
2013/11/6,201311W1
2013/11/13,201311W2
2013/11/20,201311
2013/11/27,201311W4
2013/12/4,201312W1
2013/12/11,201312W2
2013/12/18,201312
2013/12/25,201312W4
2014/1/2,201401W1
2014/1/8,201401W2
2014/1/15,201401
2014/1/22,201401W4
2014/2/5,201401W5
2014/2/12,201402W2
2014/2/19,201402
2014/2/26,201402W4
2014/3/5,201403W1
2014/3/12,201403W2
2014/3/19,201403
2014/3/26,201403W4
2014/4/2,201404W1
2014/4/9,201404W2
2014/4/16,201404
2014/4/23,201404W4
2014/4/30,201404W5
2014/5/7,201405W1
2014/5/14,201405W2
2014/5/21,201405
2014/5/28,201405W4
2014/6/4,201406W1
2014/6/11,201406W2
2014/6/18,201406
2014/6/25,201406W4
2014/7/2,201407W1
2014/7/9,201407W2
2014/7/16,201407
2014/7/24,201407W4
2014/7/30,201407W5
2014/8/6,201408W1
2014/8/13,201408W2
2014/8/20,201408
2014/8/27,201408W4
2014/9/3,201409W1
2014/9/10,201409W2
2014/9/17,201409
2014/9/24,201409W4
2014/10/1,201410W1
2014/10/8,201410W2
2014/10/15,201410
2014/10/22,201410W4
2014/10/29,201410W5
2014/11/5,201411W1
2014/11/12,201411W2
2014/11/19,201411
2014/11/26,201411W4
2014/12/3,201412W1
2014/12/10,201412W2
2014/12/17,201412
2014/12/24,201412W4
2014/12/31,201412W5
2015/1/7,201501W1
2015/1/14,201501W2
2015/1/21,201501
2015/1/28,201501W4
2015/2/4,201502W1
2015/2/11,201502W2
2015/2/24,201502
2015/2/25,201502W4
2015/3/4,201503W1
2015/3/11,201503W2
2015/3/18,201503
2015/3/25,201503W4
2015/4/1,201504W1
2015/4/8,201504W2
2015/4/15,201504
2015/4/22,201504W4
2015/4/29,201504W5
2015/5/6,201505W1
2015/5/13,201505W2
2015/5/20,201505
2015/5/27,201505W4
2015/6/3,201506W1
2015/6/10,201506W2
2015/6/17,201506
2015/6/24,201506W4
2015/7/1,201507W1
2015/7/8,201507W2
2015/7/15,201507
2015/7/22,201507W4
2015/7/29,201507W5
2015/8/5,201508W1
2015/8/12,201508W2
2015/8/19,201508
2015/8/26,201508W4
2015/9/2,201509W1
2015/9/9,201509W2
2015/9/16,201509
2015/9/23,201509W4
2015/9/30,201509W5
2015/10/7,201510W1
2015/10/14,201510W2
2015/10/21,201510
2015/10/28,201510W4
2015/11/4,201511W1
2015/11/11,201511W2
2015/11/18,201511
2015/11/25,201511W4
2015/12/2,201512W1
2015/12/9,201512W2
2015/12/16,201512
2015/12/23,201512W4
2015/12/30,201512W5
2016/1/6,201601W1
2016/1/13,201601W2
2016/1/20,201601
2016/1/27,201601W4
2016/2/3,201602W1
2016/2/15,201602W2
2016/2/17,201602
2016/2/24,201602W4
2016/3/2,201603W1
2016/3/9,201603W2
2016/3/16,201603
2016/3/23,201603W4
2016/3/30,201603W5
2016/4/6,201604W1
2016/4/13,201604W2
2016/4/20,201604
2016/4/27,201604W4
2016/5/4,201605W1
2016/5/11,201605W2
2016/5/18,201605
2016/5/25,201605W4
2016/6/1,201606W1
2016/6/8,201606W2
2016/6/15,201606
2016/6/22,201606W4
2016/6/29,201606W5
2016/7/6,201607W1
2016/7/13,201607W2
2016/7/20,201607
2016/7/27,201607W4
2016/8/3,201608W1
2016/8/10,201608W2
2016/8/17,201608
2016/8/24,201608W4
2016/8/31,201608W5
2016/9/7,201609W1
2016/9/14,201609W2
2016/9/21,201609
2016/9/29,201609W4
2016/10/5,201610W1
2016/10/12,201610W2
2016/10/19,201610
2016/10/26,201610W4
2016/11/2,201611W1
2016/11/9,201611W2
2016/11/16,201611
2016/11/23,201611W4
2016/11/30,201611W5
2016/12/7,201612W1
2016/12/14,201612W2
2016/12/21,201612
2016/12/28,201612W4
2017/1/4,201701W1
2017/1/11,201701W2
2017/1/18,201701
2017/2/2,201701W4
2017/2/8,201702W2
2017/2/15,201702
2017/2/22,201702W4
2017/3/1,201703W1
2017/3/8,201703W2
2017/3/15,201703
2017/3/22,201703W4
2017/3/29,201703W5
2017/4/5,201704W1
2017/4/12,201704W2
2017/4/19,201704
2017/4/26,201704W4
2017/5/3,201705W1
2017/5/10,201705W2
2017/5/17,201705
2017/5/24,201705W4
2017/5/31,201705W5
2017/6/7,201706W1
2017/6/14,201706W2
2017/6/21,201706
2017/6/28,201706W4
2017/7/5,201707W1
2017/7/12,201707W2
2017/7/19,201707
2017/7/26,201707W4
2017/8/2,201708W1
2017/8/9,201708W2
2017/8/16,201708
2017/8/23,201708W4
2017/8/30,201708W5
2017/9/6,201709W1
2017/9/13,201709W2
2017/9/20,201709
2017/9/27,201709W4
2017/10/5,201710W1
2017/10/11,201710W2
2017/10/18,201710
2017/10/25,201710W4
2017/11/1,201711W1
2017/11/8,201711W2
2017/11/15,201711
2017/11/22,201711W4
2017/11/29,201711W5
2017/12/6,201712W1
2017/12/13,201712W2
2017/12/20,201712
2017/12/27,201712W4
2018/1/3,201801W1
2018/1/10,201801W2
2018/1/17,201801
2018/1/24,201801W4
2018/1/31,201801W5
2018/2/7,201802W1
2018/2/21,201802
2018/3/1,201802W4
2018/3/7,201803W1
2018/3/14,201803W2
2018/3/21,201803
2018/3/28,201803W4
2018/4/9,201804W1
2018/4/11,201804W2
2018/4/18,201804
2018/4/25,201804W4
2018/5/2,201805W1
2018/5/9,201805W2
2018/5/16,201805
2018/5/23,201805W4
2018/5/30,201805W5
2018/6/6,201806W1
2018/6/13,201806W2
2018/6/20,201806
2018/6/27,201806W4
2018/7/4,201807W1
2018/7/11,201807W2
2018/7/18,201807
2018/7/25,201807W4
2018/8/1,201808W1
2018/8/8,201808W2
2018/8/15,201808
2018/8/22,201808W4
2018/8/29,201808W5
2018/9/5,201809W1
2018/9/12,201809W2
2018/9/19,201809
2018/9/26,201809W4
2018/10/3,201810W1
2018/10/11,201810W2
2018/10/17,201810
2018/10/24,201810W4
2018/10/31,201810W5
2018/11/7,201811W1
2018/11/14,201811W2
2018/11/21,201811
2018/11/28,201811W4
2018/12/5,201812W1
2018/12/12,201812W2
2018/12/19,201812
2018/12/26,201812W4
2019/1/2,201901W1
2019/1/9,201901W2
2019/1/16,201901
2019/1/23,201901W4
2019/1/30,201901W5
2019/2/11,201902W1
2019/2/13,201902W2
2019/2/20,201902
2019/2/27,201902W4
2019/3/6,201903W1
2019/3/13,201903W2
2019/3/20,201903
2019/3/27,201903W4
2019/4/3,201904W1
2019/4/10,201904W2
2019/4/17,201904
2019/4/24,201904W4
2019/5/2,201905W1
2019/5/8,201905W2
2019/5/15,201905
2019/5/22,201905W4
2019/5/29,201905W5
2019/6/5,201906W1
2019/6/12,201906W2
2019/6/19,201906
2019/6/26,201906W4
2019/7/3,201907W1
2019/7/10,201907W2
2019/7/17,201907
2019/7/24,201907W4
2019/7/31,201907W5
2019/8/7,201908W1
2019/8/14,201908W2
2019/8/21,201908
2019/8/28,201908W4
2019/9/4,201909W1
2019/9/11,201909W2
2019/9/18,201909
2019/9/25,201909W4
2019/10/2,201910W1
2019/10/9,201910W2
2019/10/16,201910
2019/10/23,201910W4
2019/10/30,201910W5
2019/11/6,201911W1
2019/11/13,201911W2
2019/11/20,201911
2019/11/27,201911W4
2019/12/4,201912W1
2019/12/11,201912W2
2019/12/18,201912
2019/12/25,201912W4
2020/1/2,202001W1
2020/1/8,202001W2
2020/1/15,202001
2020/1/30,202001W4
2020/2/5,202002W1
2020/2/12,202002W2
2020/2/19,202002
2020/2/26,202002W4
2020/3/4,202003W1
2020/3/11,202003W2
2020/3/18,202003
2020/3/25,202003W4
2020/4/1,202004W1
2020/4/8,202004W2
2020/4/15,202004
2020/4/22,202004W4
2020/4/29,202004W5
2020/5/6,202005W1
2020/5/13,202005W2
2020/5/20,202005
2020/5/27,202005W4
2020/6/3,202006W1
2020/6/10,202006W2
2020/6/17,202006
2020/6/24,202006W4
2020/7/1,202007W1
2020/7/8,202007W2
2020/7/15,202007
2020/7/22,202007W4
2020/7/29,202007W5
2020/8/5,202008W1
2020/8/12,202008W2
2020/8/19,202008
2020/8/26,202008W4
2020/9/2,202009W1
2020/9/9,202009W2
2020/9/16,202009
2020/9/23,202009W4
2020/9/30,202009W5
2020/10/7,202010W1
2020/10/14,202010W2
2020/10/21,202010
2020/10/28,202010W4
2020/11/4,202011W1
2020/11/11,202011W2
2020/11/18,202011
2020/11/25,202011W4
2020/12/2,202012W1
2020/12/9,202012W2
2020/12/16,202012
2020/12/23,202012W4
2020/12/30,202012W5
2021/1/6,202101W1
2021/1/13,202101W2
2021/1/20,202101
2021/1/27,202101W4
2021/2/3,202102W1
2021/2/17,202102
2021/2/24,202102W4
2021/3/3,202103W1
2021/3/10,202103W2
2021/3/17,202103
2021/3/24,202103W4
2021/3/31,202103W5
2021/4/7,202104W1
2021/4/14,202104W2
2021/4/21,202104
2021/4/28,202104W4
2021/5/5,202105W1
2021/5/12,202105W2
2021/5/19,202105
2021/5/26,202105W4
2021/6/2,202106W1
2021/6/9,202106W2
2021/6/16,202106
2021/6/23,202106W4
2021/6/30,202106W5
2021/7/7,202107W1
2021/7/14,202107W2
2021/7/21,202107
2021/7/28,202107W4
2021/8/4,202108W1
2021/8/11,202108W2
2021/8/18,202108
2021/8/25,202108W4
2021/9/1,202109W1
2021/9/8,202109W2
2021/9/15,202109
2021/9/22,202109W4
2021/9/29,202109W5
2021/10/6,202110W1
2021/10/13,202110W2
2021/10/20,202110
2021/10/27,202110W4
2021/11/3,202111W1
2021/11/10,202111W2
2021/11/17,202111
2021/11/24,202111W4
2021/12/1,202112W1
2021/12/8,202112W2
2021/12/15,202112
2021/12/22,202112W4
2021/12/29,202112W5
2022/1/5,202201W1
2022/1/12,202201W2
2022/1/19,202201
2022/1/26,202201W4
2022/2/7,202202W1
2022/2/9,202202W2
2022/2/16,202202
2022/2/23,202202W4
2022/3/2,202203W1
2022/3/9,202203W2
2022/3/16,202203
2022/3/23,202203W4
2022/3/30,202203W5
2022/4/6,202204W1
2022/4/13,202204W2
2022/4/20,202204
2022/4/27,202204W4
2022/5/4,202205W1
2022/5/11,202205W2
2022/5/18,202205
2022/5/25,202205W4
2022/6/1,202206W1
2022/6/8,202206W2
2022/6/15,202206
2022/6/22,202206W4
2022/6/29,202206W5
2022/7/6,202207W1
2022/7/13,202207W2
2022/7/20,202207
2022/7/27,202207W4
2022/8/3,202208W1
2022/8/10,202208W2
2022/8/17,202208
2022/8/24,202208W4
2022/8/31,202208W5
2022/9/7,202209W1
2022/9/14,202209W2
2022/9/21,202209
2022/9/28,202209W4
2022/10/5,202210W1
2022/10/12,202210W2
2022/10/19,202210
2022/10/26,202210W4
2022/11/2,202211W1
2022/11/9,202211W2
2022/11/16,202211
2022/11/23,202211W4
2022/11/30,202211W5
2022/12/7,202212W1
2022/12/14,202212W2
2022/12/21,202212
2022/12/28,202212W4
2023/1/4,202301W1
2023/1/11,202301W2
2023/1/30,202301
2023/2/1,202302W1
2023/2/8,202302W2
2023/2/15,202302
2023/2/22,202302W4
2023/3/1,202303W1
2023/3/8,202303W2
2023/3/15,202303
2023/3/22,202303W4
2023/3/29,202303W5
2023/4/6,202304W1
2023/4/12,202304W2
2023/4/19,202304
2023/4/26,202304W4
2023/5/3,202305W1
2023/5/10,202305W2
2023/5/17,202305
2023/5/24,202305W4
2023/5/31,202305W5
2023/6/7,202306W1
2023/6/14,202306W2
2023/6/21,202306
2023/6/28,202306W4
2023/7/5,202307W1
2023/7/12,202307W2
2023/7/19,202307
2023/7/26,202307W4
2023/8/2,202308W1
2023/8/9,202308W2
2023/8/16,202308
2023/8/23,202308W4
2023/8/30,202308W5
