,日期,Close,價平買權次週每日結算價,價平買權近週每日結算價,價平賣權次週每日結算價,價平賣權近週每日結算價,Implied volatility of Call,Implied volatility of Put,Signal of Long Call,Signal of Long Put,Signal of Long Call_E,Signal of Long Put_E
0,2020-01-02,8721,68.0,102.0,56.0,0.1,0.14076025570704664,0.1159202105822737,0,0,0,0
1,2020-01-03,8583,,52.0,,56.0,,,0,0,0,0
2,2020-01-06,8505,,5.4,,147.0,,,0,0,0,0
3,2020-01-07,8422,,0.6,,225.0,,,0,0,0,0
4,2020-01-08,8603,136.0,0.1,99.0,260.0,0.28538188771850603,0.20774122708920661,0,1,0,1
5,2020-01-09,8645,,247.0,,29.0,,,0,0,0,1
6,2020-01-10,8750,,284.0,,20.0,,,0,0,0,1
7,2020-01-13,8815,,370.0,,1.5,,,0,0,0,1
8,2020-01-14,8714,,431.0,,0.9,,,0,0,0,1
9,2020-01-15,8712,101.0,313.0,86.0,0.1,0.20928636159748645,0.17820422868696864,0,1,0,1
10,2020-01-16,8731,,99.0,,84.0,,,0,0,0,1
11,2020-01-17,8771,,100.0,,66.0,,,0,0,0,1
12,2020-01-30,8129,186.0,0.2,95.0,615.0,0.41306009592369836,0.2109715543696309,1,1,1,1
13,2020-01-31,7984,,228.0,,42.5,,,0,0,1,1
14,2020-02-03,8194,,115.0,,76.0,,,0,0,1,1
15,2020-02-04,8202,,258.0,,7.9,,,0,0,1,1
16,2020-02-05,8399,149.0,260.0,96.0,0.1,0.32025513946539835,0.2063388818032097,1,1,1,1
17,2020-02-06,8249,,278.0,,28.5,,,0,0,1,1
18,2020-02-07,8225,,161.0,,56.0,,,0,0,1,1
19,2020-02-10,8324,,126.0,,44.0,,,0,0,1,1
20,2020-02-11,8430,,187.0,,8.4,,,0,0,1,1
21,2020-02-12,8435,110.0,293.0,90.0,0.2,0.2354209018834808,0.19261710154102973,0,1,0,1
22,2020-02-13,8470,,105.0,,79.0,,,0,0,0,1
23,2020-02-14,8429,,108.0,,47.0,,,0,0,0,1
24,2020-02-17,8300,,61.0,,40.5,,,0,0,0,1
25,2020-02-18,8434,,8.2,,117.0,,,0,0,0,1
26,2020-02-19,8384,105.0,10.0,80.0,0.1,0.22608692669549343,0.1722567060537093,0,1,0,1
27,2020-02-20,8334,,69.0,,92.0,,,0,0,0,1
28,2020-02-21,8182,,41.5,,116.0,,,0,0,0,1
29,2020-02-24,8212,,5.1,,232.0,,,0,0,0,1
30,2020-02-25,8092,,1.7,,202.0,,,0,0,0,1
31,2020-02-26,7947,144.0,0.1,111.0,317.0,0.32711216841546964,0.2521489631535912,1,1,1,1
32,2020-03-02,7992,,17.5,,222.0,,,0,0,1,1
33,2020-03-03,8029,,24.5,,89.0,,,0,0,1,1
34,2020-03-04,8162,138.0,0.1,110.0,21.0,0.3052248695946049,0.243295185908743,1,1,1,1
35,2020-03-05,7940,,202.0,,44.5,,,0,0,1,1
36,2020-03-06,7622,,84.0,,146.0,,,0,0,1,1
37,2020-03-09,7652,,7.5,,385.0,,,0,0,1,1
38,2020-03-10,7495,,1.3,,340.0,,,0,0,1,1
39,2020-03-11,7033,200.0,0.2,178.0,443.0,0.5133656418151211,0.45689542121545773,1,1,1,1
40,2020-03-12,6698,,32.5,,468.0,,,0,0,1,1
41,2020-03-13,6350,,19.5,,785.0,,,0,0,1,1
42,2020-03-16,6042,,1.5,,1120.0,,,0,0,1,1
43,2020-03-17,5756,,0.1,,1430.0,,,0,0,1,1
44,2020-03-18,5193,417.0,0.3,285.0,1490.0,1.4496232746537225,0.9907497200870765,1,1,1,1
45,2020-03-19,5878,,146.0,,565.0,,,0,0,1,1
46,2020-03-20,5502,,370.0,,160.0,,,0,0,1,1
47,2020-03-23,6030,,141.0,,260.0,,,0,0,1,1
48,2020-03-24,6422,,427.0,,9.5,,,0,0,1,1
49,2020-03-25,6468,308.0,715.0,194.0,0.2,0.859642990210892,0.5414634418860813,1,1,1,1
50,2020-03-26,6416,,324.0,,154.0,,,0,0,1,1
51,2020-03-27,6403,,251.0,,154.0,,,0,0,1,1
52,2020-03-30,6432,,203.0,,91.0,,,0,0,1,1
53,2020-03-31,6392,,160.0,,34.5,,,0,0,1,1
54,2020-04-06,6835,,326.0,,16.0,,,0,0,1,1
55,2020-04-07,6959,,465.0,,1.4,,,0,0,1,1
56,2020-04-08,6937,180.0,565.0,152.0,0.1,0.46842302191108137,0.39555721850269093,1,1,1,1
57,2020-04-09,6970,,142.0,,142.0,,,0,0,1,1
58,2020-04-10,6916,,133.0,,99.0,,,0,0,1,1
59,2020-04-13,7180,,82.0,,106.0,,,0,0,1,1
60,2020-04-14,7242,,250.0,,4.4,,,0,0,1,1
61,2020-04-15,7218,198.0,351.0,110.0,0.1,0.49520581231600014,0.27511434017555564,1,1,1,1
62,2020-04-16,7480,,169.0,,101.0,,,0,0,1,1
63,2020-04-17,7392,,330.0,,26.5,,,0,0,1,1
64,2020-04-20,7113,,256.0,,22.0,,,0,0,1,1
65,2020-04-21,7139,,63.0,,84.0,,,0,0,1,1
66,2020-04-22,7209,218.0,0.2,118.0,15.0,0.5459072838376285,0.29549109859100986,1,1,1,1
67,2020-04-23,7185,,238.0,,64.0,,,0,0,1,1
68,2020-04-24,7462,,210.0,,59.0,,,0,0,1,1
69,2020-04-27,7500,,401.0,,5.2,,,0,0,1,1
70,2020-04-28,7626,,426.0,,0.8,,,0,0,1,1
71,2020-04-29,7864,150.0,555.0,103.0,0.1,0.3443381763942408,0.23644554779071203,1,1,1,1
72,2020-05-04,7636,,84.0,,115.0,,,0,0,1,1
73,2020-05-05,7666,,104.0,,25.0,,,0,0,1,1
74,2020-05-06,7750,160.0,57.0,111.0,0.1,0.37269683188498026,0.25855842712020505,1,1,1,1
75,2020-05-07,7811,,188.0,,63.0,,,0,0,1,1
76,2020-05-08,7899,,213.0,,38.0,,,0,0,1,1
77,2020-05-11,7782,,266.0,,10.5,,,0,0,1,1
78,2020-05-12,7831,,153.0,,7.4,,,0,0,1,1
79,2020-05-13,7666,131.0,174.0,117.0,0.1,0.30848915550093453,0.2755208488061781,1,1,1,1
80,2020-05-14,7734,,56.0,,206.0,,,0,0,1,1
81,2020-05-15,7678,,63.0,,143.0,,,0,0,1,1
82,2020-05-18,7785,,28.0,,165.0,,,0,0,1,1
83,2020-05-19,7833,,35.0,,66.0,,,0,0,1,1
84,2020-05-20,7935,135.0,0.1,93.0,13.0,0.30713142750445854,0.2115794278364048,1,1,1,1
85,2020-05-21,7726,,178.0,,46.5,,,0,0,1,1
86,2020-05-22,7803,,65.0,,125.0,,,0,0,1,1
87,2020-05-25,7966,,61.0,,52.0,,,0,0,1,1
88,2020-05-26,7955,,164.0,,6.7,,,0,0,1,1
89,2020-05-27,7893,139.0,160.0,86.0,0.1,0.3179143403554534,0.19669520338538843,1,1,1,1
90,2020-05-28,7901,,101.0,,108.0,,,0,0,1,1
91,2020-05-29,8039,,86.0,,91.0,,,0,0,1,1
92,2020-06-01,8089,,151.0,,21.5,,,0,0,1,1
93,2020-06-02,8265,,187.0,,6.5,,,0,0,1,1
94,2020-06-03,8340,141.0,371.0,90.0,0.2,0.3052041839345865,0.19481118123484242,1,1,1,1
95,2020-06-04,8439,,182.0,,56.0,,,0,0,1,1
96,2020-06-05,8552,,245.0,,20.0,,,0,0,1,1
97,2020-06-08,8588,,341.0,,4.7,,,0,0,1,1
98,2020-06-09,8686,,380.0,,1.1,,,0,0,1,1
99,2020-06-10,8473,127.0,463.0,123.0,0.1,0.2705851357125515,0.26206276923341604,0,1,0,1
100,2020-06-11,8373,,34.0,,243.0,,,0,0,0,1
101,2020-06-12,8207,,14.0,,323.0,,,0,0,0,1
102,2020-06-15,8504,,1.8,,475.0,,,0,0,0,1
103,2020-06-16,8534,,7.7,,183.0,,,0,0,0,1
104,2020-06-17,8570,217.0,0.2,66.0,179.0,0.4571053799756167,0.13902744275756085,1,0,1,0
105,2020-06-18,8584,,235.0,,42.0,,,0,0,1,0
106,2020-06-19,8596,,231.0,,27.0,,,0,0,1,0
107,2020-06-22,8631,,230.0,,13.0,,,0,0,1,0
108,2020-06-23,8698,,260.0,,3.2,,,0,0,1,0
109,2020-06-29,8645,,65.0,,85.0,,,0,0,1,0
110,2020-06-30,8719,,102.0,,11.0,,,0,0,1,0
111,2020-07-01,8870,164.0,203.0,60.0,0.2,0.33377795471097094,0.1221138858698674,1,0,1,0
112,2020-07-02,9009,,276.0,,23.0,,,0,0,1,0
113,2020-07-03,9242,,398.0,,10.0,,,0,0,1,0
114,2020-07-06,9203,,615.0,,2.1,,,0,0,1,0
115,2020-07-07,9301,,575.0,,0.6,,,0,0,1,0
116,2020-07-08,9324,138.0,655.0,110.0,0.1,0.2671863347952772,0.21297461469188766,0,1,0,1
117,2020-07-09,9170,,136.0,,85.0,,,0,0,0,1
118,2020-07-10,9379,,54.0,,159.0,,,0,0,0,1
119,2020-07-13,9363,,135.0,,29.5,,,0,0,0,1
120,2020-07-14,9417,,109.0,,21.0,,,0,0,0,1
121,2020-07-15,9362,228.0,120.0,68.0,0.1,0.43964651112259673,0.1311226436681429,1,0,1,0
122,2020-07-16,9372,,177.0,,65.0,,,0,0,1,0
123,2020-07-17,9366,,164.0,,44.5,,,0,0,1,0
124,2020-07-20,9621,,144.0,,25.5,,,0,0,1,0
125,2020-07-21,9665,,370.0,,1.8,,,0,0,1,0
126,2020-07-22,9620,186.0,401.0,63.0,0.2,0.34904007481951604,0.11822325114854576,1,0,1,0
127,2020-07-23,9483,,160.0,,70.0,,,0,0,1,0
128,2020-07-24,9831,,88.0,,134.0,,,0,0,1,0
129,2020-07-27,9787,,319.0,,15.0,,,0,0,1,0
130,2020-07-28,9754,,272.0,,11.5,,,0,0,1,0
131,2020-07-29,9928,205.0,229.0,97.0,0.1,0.37276018058600824,0.17637920739923318,1,1,1,1
132,2020-07-30,9909,,320.0,,47.0,,,0,0,1,1
133,2020-07-31,9773,,301.0,,45.5,,,0,0,1,1
134,2020-08-03,9962,,171.0,,43.0,,,0,0,1,1
135,2020-08-04,10074,,314.0,,2.1,,,0,0,1,1
136,2020-08-05,10169,176.0,393.0,85.0,0.1,0.31244374981015405,0.15089612916967668,1,0,1,0
137,2020-08-06,10092,,237.0,,54.0,,,0,0,1,0
138,2020-08-07,10187,,170.0,,62.0,,,0,0,1,0
139,2020-08-10,10068,,221.0,,20.0,,,0,0,1,0
140,2020-08-11,9988,,97.0,,25.0,,,0,0,1,0
141,2020-08-12,10058,130.0,0.2,121.0,40.5,0.23332922681206353,0.21717566495584376,0,1,0,1
142,2020-08-13,10122,,155.0,,77.0,,,0,0,0,1
143,2020-08-14,10286,,183.0,,42.5,,,0,0,0,1
144,2020-08-17,10210,,311.0,,6.5,,,0,0,0,1
145,2020-08-18,10128,,230.0,,3.3,,,0,0,0,1
146,2020-08-19,9677,139.0,156.0,101.0,0.1,0.2593053517025518,0.18841611886300527,0,1,0,1
147,2020-08-20,9930,,18.5,,423.0,,,0,0,0,1
148,2020-08-21,9982,,32.0,,187.0,,,0,0,0,1
149,2020-08-24,10114,,27.5,,137.0,,,0,0,0,1
150,2020-08-25,10174,,61.0,,38.0,,,0,0,0,1
151,2020-08-26,10137,165.0,49.5,92.0,0.2,0.293840678808399,0.16383843909316795,0,0,0,0
152,2020-08-27,10067,,131.0,,94.0,,,0,0,0,0
153,2020-08-28,9968,,88.0,,115.0,,,0,0,0,0
154,2020-08-31,10067,,28.0,,155.0,,,0,0,0,0
155,2020-09-01,10069,,26.5,,67.0,,,0,0,0,0
156,2020-09-02,10113,165.0,0.2,101.0,82.0,0.29453801652138245,0.18029296768884623,0,1,0,1
157,2020-09-03,9986,,174.0,,75.0,,,0,0,0,1
158,2020-09-04,9959,,98.0,,120.0,,,0,0,0,1
159,2020-09-07,10046,,52.0,,102.0,,,0,0,0,1
160,2020-09-08,9977,,68.0,32.0,32.0,,0.05790118165998993,0,0,0,0
161,2020-09-09,10077,175.0,0.1,124.0,58.0,0.3135048118512482,0.22214055239745586,1,1,1,1
162,2020-09-10,10042,,211.0,,63.0,,,0,0,1,1
163,2020-09-11,10163,,175.0,,61.0,,,0,0,1,1
164,2020-09-14,10222,,246.0,,11.5,,,0,0,1,1
165,2020-09-15,10343,,296.0,,2.8,,,0,0,1,1
166,2020-09-16,10255,138.0,418.0,107.0,0.1,0.24292982795038176,0.18835863471515107,0,1,0,1
167,2020-09-17,10273,,79.0,,128.0,,,0,0,0,1
168,2020-09-18,10099,,73.0,,100.0,,,0,0,0,1
169,2020-09-21,9949,,16.0,,196.0,,,0,0,0,1
170,2020-09-22,9968,,1.9,,276.0,,,0,0,0,1
171,2020-09-23,9620,182.0,0.2,84.0,323.0,0.3415338366513544,0.15763100153139434,1,0,1,0
172,2020-09-24,9635,,23.0,,274.0,,,0,0,1,0
173,2020-09-25,9855,,13.0,,271.0,,,0,0,1,0
174,2020-09-28,9861,,42.0,,82.0,,,0,0,1,0
175,2020-09-29,9913,,23.0,,69.0,,,0,0,1,0
176,2020-10-05,10117,,142.0,,30.0,,,0,0,1,0
177,2020-10-06,10194,,256.0,,1.4,,,0,0,1,0
178,2020-10-07,10313,112.0,309.0,84.0,0.3,0.19605161572539687,0.14703871179404765,0,0,0,0
179,2020-10-12,10355,,209.0,,9.0,,,0,0,0,0
180,2020-10-13,10330,,208.0,,2.6,,,0,0,0,0
181,2020-10-14,10280,135.0,150.0,94.0,0.1,0.23707080517975476,0.16507152360664404,0,0,0,0
182,2020-10-15,10188,,100.0,,106.0,,,0,0,0,0
183,2020-10-16,10295,,42.5,,143.0,,,0,0,0,0
184,2020-10-19,10295,,85.0,,39.0,,,0,0,0,0
185,2020-10-20,10324,,46.0,40.5,40.5,,0.07081812893978726,0,0,0,0
186,2020-10-21,10352,134.0,10.0,82.0,0.1,0.2336780694023812,0.14299702754474072,0,0,0,0
187,2020-10-22,10354,,146.0,,54.0,,,0,0,0,0
188,2020-10-23,10376,,126.0,,30.0,,,0,0,0,0
189,2020-10-26,10324,,128.0,,16.0,,,0,0,0,0
190,2020-10-27,10259,,80.0,,13.0,,,0,0,0,0
191,2020-10-28,10119,183.0,0.2,90.0,28.5,0.32647573983402095,0.16056183926263326,1,0,1,0
192,2020-10-29,9929,,101.0,,144.0,,,0,0,1,0
193,2020-10-30,10032,,30.5,,251.0,,,0,0,1,0
194,2020-11-02,10200,,38.0,,152.0,,,0,0,1,0
195,2020-11-03,10380,,86.0,,52.0,,,0,0,1,0
196,2020-11-04,10407,162.0,165.0,114.0,0.1,0.2810133038048866,0.19775010267751278,0,1,0,1
197,2020-11-05,10453,,140.0,,72.0,,,0,0,0,1
198,2020-11-06,10642,,153.0,,48.5,,,0,0,0,1
199,2020-11-09,10587,,294.0,,4.8,,,0,0,0,1
200,2020-11-10,10777,,240.0,,2.3,,,0,0,0,1
201,2020-11-11,10742,127.0,399.0,116.0,0.3,0.21343026018362027,0.19494417465590513,0,1,0,1
202,2020-11-12,10798,,91.0,,113.0,,,0,0,0,1
203,2020-11-13,11095,,105.0,,71.0,,,0,0,0,1
204,2020-11-16,11140,,334.0,,5.0,,,0,0,0,1
205,2020-11-17,11272,,375.0,,1.9,,,0,0,0,1
206,2020-11-18,11297,132.0,510.0,99.0,0.2,0.21093479409264343,0.15820109556948256,0,0,0,0
207,2020-11-19,11288,,139.0,,72.0,,,0,0,0,0
208,2020-11-20,11428,,121.0,,62.0,,,0,0,0,0
209,2020-11-23,11354,,212.0,,11.5,,,0,0,0,0
210,2020-11-24,11267,,129.0,,8.7,,,0,0,0,0
211,2020-11-25,11394,125.0,53.0,98.0,0.2,0.19804834555938136,0.155269902918555,0,0,0,0
212,2020-11-26,11433,,186.0,,29.0,,,0,0,0,0
213,2020-11-27,11275,,208.0,,17.5,,,0,0,0,0
214,2020-11-30,11430,,97.0,,44.0,,,0,0,0,0
215,2020-12-01,11510,,196.0,,3.9,,,0,0,0,0
216,2020-12-02,11537,127.0,280.0,101.0,0.1,0.1987230523439758,0.15803959280898863,0,0,0,0
217,2020-12-03,11688,,123.0,,72.0,,,0,0,0,0
218,2020-12-04,11775,,232.0,,25.5,,,0,0,0,0
219,2020-12-07,11895,,312.0,,5.8,,,0,0,0,0
220,2020-12-08,11952,,410.0,,1.0,,,0,0,0,0
221,2020-12-09,11792,144.0,449.0,97.0,0.2,0.22045118744892617,0.14849836932323499,0,0,0,0
222,2020-12-10,11792,,60.0,,170.0,,,0,0,0,0
223,2020-12-11,11756,,41.0,,154.0,,,0,0,0,0
224,2020-12-14,11639,,16.0,,163.0,,,0,0,0,0
225,2020-12-15,11849,,1.2,,270.0,,,0,0,0,0
226,2020-12-16,11846,180.0,0.1,63.0,27.0,0.27430782567931555,0.09600773898776044,0,0,0,0
227,2020-12-17,11796,,180.0,,41.0,,,0,0,0,0
228,2020-12-18,11969,,134.0,,52.0,,,0,0,0,0
229,2020-12-21,11706,,254.0,,7.3,,,0,0,0,0
230,2020-12-22,11774,,55.0,,75.0,,,0,0,0,0
231,2020-12-23,11902,158.0,84.0,83.0,0.1,0.23964841552005878,0.12589125625420808,0,0,0,0
232,2020-12-24,11964,,220.0,,29.0,,,0,0,0,0
233,2020-12-25,12096,,261.0,,13.5,,,0,0,0,0
234,2020-12-28,12118,,387.0,,4.0,,,0,0,0,0
235,2020-12-29,12296,,405.0,,0.8,,,0,0,0,0
236,2020-12-30,12338,143.0,540.0,78.0,0.3,0.20923228234748814,0.11412669946226625,0,0,0,0
237,2020-12-31,12533,,170.0,,51.0,,,0,0,0,0
238,2021-01-04,12636,,306.0,,7.4,,,0,0,0,0
239,2021-01-05,12571,,411.0,,1.5,,,0,0,0,0
240,2021-01-06,12886,171.0,335.0,136.0,0.2,0.23956060669310206,0.19052773397813966,0,1,0,1
241,2021-01-07,13111,,377.0,,32.0,,,0,0,0,1
242,2021-01-08,13191,,580.0,,16.5,,,0,0,0,1
243,2021-01-11,13149,,660.0,,4.5,,,0,0,0,1
244,2021-01-12,13419,,615.0,,2.2,,,0,0,0,1
245,2021-01-13,13387,180.0,860.0,168.0,0.1,0.24273179226093758,0.22654967277687507,0,1,0,1
246,2021-01-14,13292,,146.0,,168.0,,,0,0,0,1
247,2021-01-15,13268,,88.0,,203.0,,,0,0,0,1
248,2021-01-18,13548,,43.0,,186.0,,,0,0,0,1
249,2021-01-19,13436,,167.0,,26.0,,,0,0,0,1
250,2021-01-20,13828,226.0,16.0,143.0,0.1,0.29504379747909265,0.18668700459960288,0,1,0,1
251,2021-01-21,13680,,498.0,,40.5,,,0,0,0,1
252,2021-01-22,13614,,354.0,,40.0,,,0,0,0,1
253,2021-01-25,13331,,287.0,,32.0,,,0,0,0,1
254,2021-01-26,13360,,70.0,,88.0,,,0,0,0,1
255,2021-01-27,13085,194.0,49.0,153.0,0.1,0.2676488759739529,0.21108390734028246,0,1,0,1
256,2021-01-28,12773,,67.0,,299.0,,,0,0,0,1
257,2021-01-29,13065,,8.4,,550.0,,,0,0,0,1
258,2021-02-01,13455,,16.5,,272.0,,,0,0,0,1
259,2021-02-02,13476,,144.0,,35.0,,,0,0,0,1
260,2021-02-03,13399,239.0,117.0,216.0,0.1,0.3220052367989004,0.29101728514042885,1,1,1,1
261,2021-02-04,13505,,163.0,,217.0,,,0,0,1,1
262,2021-02-17,14172,222.0,580.0,134.0,0.3,0.2827868769660724,0.1706911779885302,0,1,0,1
263,2021-02-18,14101,,223.0,,101.0,,,0,0,0,1
264,2021-02-19,14174,,166.0,,107.0,,,0,0,0,1
265,2021-02-22,14226,,190.0,,59.0,,,0,0,0,1
266,2021-02-23,13973,,211.0,,19.5,,,0,0,0,1
267,2021-02-24,14179,227.0,0.1,147.0,64.0,0.2890131979924763,0.18715832645327762,0,1,0,1
268,2021-02-25,13723,,340.0,,52.0,,,0,0,0,1
269,2021-02-26,13696,,88.0,,244.0,,,0,0,0,1
270,2021-03-02,13971,,16.5,,221.0,,,0,0,0,1
271,2021-03-03,13714,220.0,33.0,162.0,0.1,0.28959826562449476,0.21324963195985522,0,1,0,1
272,2021-03-04,13639,,89.0,,280.0,,,0,0,0,1
273,2021-03-05,13611,,48.5,,314.0,,,0,0,0,1
274,2021-03-08,13614,,17.0,,321.0,,,0,0,0,1
275,2021-03-09,13677,,5.3,,299.0,,,0,0,0,1
276,2021-03-10,13961,201.0,0.1,174.0,273.0,0.2599063864823562,0.2249935882981591,0,1,0,1
277,2021-03-11,14015,,373.0,,55.0,,,0,0,0,1
278,2021-03-12,13991,,397.0,,21.0,,,0,0,0,1
279,2021-03-15,14097,,365.0,,12.5,,,0,0,0,1
280,2021-03-16,14013,,460.0,,1.6,,,0,0,0,1
281,2021-03-17,14090,170.0,345.0,105.0,0.1,0.2178087633110635,0.13452894204506863,0,0,0,0
282,2021-03-18,13865,,194.0,,66.0,,,0,0,0,0
283,2021-03-19,13992,,68.0,,158.0,,,0,0,0,0
284,2021-03-22,13974,,98.0,,77.0,,,0,0,0,0
285,2021-03-23,13836,,71.0,,56.0,,,0,0,0,0
286,2021-03-24,13885,178.0,0.2,114.0,121.0,0.2314256750023993,0.14821644354086247,0,0,0,0
287,2021-03-25,14140,,190.0,,76.0,,,0,0,0,0
288,2021-03-26,14263,,378.0,,15.0,,,0,0,0,0
289,2021-03-29,14375,,495.0,,5.7,,,0,0,0,0
290,2021-03-30,14278,,590.0,,0.6,,,0,0,0,0
291,2021-03-31,14404,144.0,494.0,90.0,0.1,0.18047489602872377,0.11279681001795237,0,0,0,0
292,2021-04-01,14583,,214.0,,41.5,,,0,0,0,0
293,2021-04-06,14622,,343.0,,0.7,,,0,0,0,0
