契約,到期月份,履約價,買賣權,結算價,到期時間（年）
TXO,202401W2,15700,Call,1830,0.019230769
TXO,202401W2,15800,Call,1730,0.019230769
TXO,202401W2,15900,Call,1630,0.019230769
TXO,202401W2,16000,Call,1530,0.019230769
TXO,202401W2,16100,Call,1430,0.019230769
TXO,202401W2,16200,Call,1330,0.019230769
TXO,202401W2,16300,Call,1230,0.019230769
TXO,202401W2,16400,Call,1130,0.019230769
TXO,202401W2,16500,Call,1030,0.019230769
TXO,202401W2,16600,Call,935,0.019230769
TXO,202401W2,16700,Call,835,0.019230769
TXO,202401W2,16800,Call,735,0.019230769
TXO,202401W2,16900,Call,635,0.019230769
TXO,202401W2,17000,Call,535,0.019230769
TXO,202401W2,17050,Call,485,0.019230769
TXO,202401W2,17100,Call,439,0.019230769
TXO,202401W2,17150,Call,392,0.019230769
TXO,202401W2,17200,Call,345,0.019230769
TXO,202401W2,17250,Call,300,0.019230769
TXO,202401W2,17300,Call,258,0.019230769
TXO,202401W2,17350,Call,218,0.019230769
TXO,202401W2,17400,Call,177,0.019230769
TXO,202401W2,17450,Call,142,0.019230769
TXO,202401W2,17500,Call,111,0.019230769
TXO,202401W2,17550,Call,85,0.019230769
TXO,202401W2,17600,Call,62,0.019230769
TXO,202401W2,17650,Call,44.5,0.019230769
TXO,202401W2,17700,Call,30,0.019230769
TXO,202401W2,17750,Call,20,0.019230769
TXO,202401W2,17800,Call,12,0.019230769
TXO,202401W2,17850,Call,7.3,0.019230769
TXO,202401W2,17900,Call,4.6,0.019230769
TXO,202401W2,17950,Call,3.1,0.019230769
TXO,202401W2,18000,Call,2.3,0.019230769
TXO,202401W2,18050,Call,1.6,0.019230769
TXO,202401W2,18100,Call,1.4,0.019230769
TXO,202401W2,18150,Call,1,0.019230769
TXO,202401W2,18200,Call,0.9,0.019230769
TXO,202401W2,18250,Call,0.7,0.019230769
TXO,202401W2,18300,Call,0.6,0.019230769
TXO,202401W2,18350,Call,0.5,0.019230769
TXO,202401W2,18400,Call,0.4,0.019230769
TXO,202401W2,18450,Call,0.3,0.019230769
TXO,202401W2,18500,Call,0.3,0.019230769
TXO,202401W2,18600,Call,0.2,0.019230769
TXO,202401W2,18700,Call,0.2,0.019230769
TXO,202401W2,18800,Call,0.2,0.019230769
TXO,202401W2,18900,Call,0.2,0.019230769
TXO,202401W2,19000,Call,0.2,0.019230769
TXO,202401W2,19100,Call,0.2,0.019230769
TXO,202401W2,19200,Call,0.2,0.019230769
TXO,202401W2,19300,Call,0.2,0.019230769
TXO,202401W2,19400,Call,0.2,0.019230769
TXO,202401W2,19500,Call,0.2,0.019230769
TXO,202401W2,19600,Call,0.2,0.019230769
TXO,202401W2,19700,Call,0.2,0.019230769
TXO,202401W2,19800,Call,0.2,0.019230769
TXO,202401,13600,Call,3920,0.038461538
TXO,202401,13700,Call,3820,0.038461538
TXO,202401,13800,Call,3720,0.038461538
TXO,202401,13900,Call,3620,0.038461538
TXO,202401,14000,Call,3520,0.038461538
TXO,202401,14100,Call,3420,0.038461538
TXO,202401,14200,Call,3320,0.038461538
TXO,202401,14300,Call,3220,0.038461538
TXO,202401,14400,Call,3120,0.038461538
TXO,202401,14500,Call,3020,0.038461538
TXO,202401,14600,Call,2920,0.038461538
TXO,202401,14700,Call,2820,0.038461538
TXO,202401,14800,Call,2720,0.038461538
TXO,202401,14900,Call,2620,0.038461538
TXO,202401,15000,Call,2520,0.038461538
TXO,202401,15100,Call,2420,0.038461538
TXO,202401,15200,Call,2320,0.038461538
TXO,202401,15300,Call,2220,0.038461538
TXO,202401,15400,Call,2120,0.038461538
TXO,202401,15500,Call,2020,0.038461538
TXO,202401,15600,Call,1920,0.038461538
TXO,202401,15700,Call,1820,0.038461538
TXO,202401,15800,Call,1720,0.038461538
TXO,202401,15900,Call,1620,0.038461538
TXO,202401,16000,Call,1520,0.038461538
TXO,202401,16100,Call,1420,0.038461538
TXO,202401,16200,Call,1320,0.038461538
TXO,202401,17550,Call,173,0.038461538
TXO,202401,17600,Call,146,0.038461538
TXO,202401,17650,Call,129,0.038461538
TXO,202401,17700,Call,108,0.038461538
TXO,202401,17750,Call,90,0.038461538
TXO,202401,17800,Call,75,0.038461538
TXO,202401,17850,Call,62,0.038461538
TXO,202401,17900,Call,51,0.038461538
TXO,202401,17950,Call,41.5,0.038461538
TXO,202401,18000,Call,33.5,0.038461538
TXO,202401,18050,Call,26,0.038461538
TXO,202401,18100,Call,21,0.038461538
TXO,202401,18150,Call,17,0.038461538
TXO,202401,18200,Call,13.5,0.038461538
TXO,202401,18250,Call,11,0.038461538
TXO,202401,18300,Call,9.3,0.038461538
TXO,202401,18350,Call,7.5,0.038461538
TXO,202401,18400,Call,6.3,0.038461538
TXO,202401,18500,Call,4.6,0.038461538
TXO,202401,18600,Call,3.3,0.038461538
TXO,202401,18700,Call,2.7,0.038461538
TXO,202401,18800,Call,2,0.038461538
TXO,202401,18900,Call,1.3,0.038461538
TXO,202401,19000,Call,1.3,0.038461538
TXO,202401,19100,Call,1,0.038461538
TXO,202401,19200,Call,0.8,0.038461538
TXO,202401,19300,Call,0.5,0.038461538
TXO,202401,19400,Call,0.4,0.038461538
TXO,202401,19500,Call,0.3,0.038461538
TXO,202401,19600,Call,0.3,0.038461538
TXO,202402,16600,Call,990,0.153846154
TXO,202402,16700,Call,905,0.153846154
TXO,202402,16800,Call,820,0.153846154
TXO,202402,16900,Call,735,0.153846154
TXO,202402,17000,Call,660,0.153846154
TXO,202402,17100,Call,590,0.153846154
TXO,202402,17200,Call,515,0.153846154
TXO,202402,17300,Call,452,0.153846154
TXO,202402,17400,Call,394,0.153846154
TXO,202402,17500,Call,332,0.153846154
TXO,202402,17600,Call,281,0.153846154
TXO,202402,17700,Call,234,0.153846154
TXO,202402,17800,Call,194,0.153846154
TXO,202402,17900,Call,157,0.153846154
TXO,202402,18000,Call,128,0.153846154
TXO,202402,18100,Call,101,0.153846154
TXO,202402,18200,Call,79,0.153846154
TXO,202402,18300,Call,60,0.153846154
TXO,202402,18400,Call,47.5,0.153846154
TXO,202402,18500,Call,36.5,0.153846154
TXO,202402,18600,Call,27.5,0.153846154
TXO,202402,18700,Call,21.5,0.153846154
TXO,202402,18800,Call,18,0.153846154
TXO,202402,18900,Call,14.5,0.153846154
TXO,202402,19000,Call,11,0.153846154
TXO,202402,19100,Call,9.9,0.153846154
TXO,202402,19200,Call,8.3,0.153846154
TXO,202402,19300,Call,6.3,0.153846154
TXO,202402,19400,Call,5.8,0.153846154
TXO,202402,19500,Call,4.8,0.153846154
TXO,202402,19600,Call,4.1,0.153846154
TXO,202402,19700,Call,3.7,0.153846154
TXO,202402,19800,Call,3.4,0.153846154
TXO,202402,19900,Call,3.1,0.153846154
TXO,202402,20000,Call,2.8,0.153846154
TXO,202402,20100,Call,2.2,0.153846154
TXO,202402,20200,Call,1.8,0.153846154
TXO,202402,20300,Call,1.4,0.153846154
TXO,202402,20400,Call,1.1,0.153846154
TXO,202402,20500,Call,0.9,0.153846154
TXO,202402,20600,Call,0.7,0.153846154
TXO,202402,20700,Call,0.7,0.153846154
TXO,202403,17000,Call,730,0.230769231
TXO,202403,17100,Call,665,0.230769231
TXO,202403,17200,Call,600,0.230769231
TXO,202403,17300,Call,535,0.230769231
TXO,202403,17400,Call,480,0.230769231
TXO,202403,17500,Call,426,0.230769231
TXO,202403,17600,Call,370,0.230769231
TXO,202403,17700,Call,323,0.230769231
TXO,202403,17800,Call,283,0.230769231
TXO,202403,17900,Call,242,0.230769231
TXO,202403,18000,Call,206,0.230769231
TXO,202403,18100,Call,173,0.230769231
TXO,202403,18200,Call,145,0.230769231
TXO,202403,18300,Call,125,0.230769231
TXO,202403,18400,Call,100,0.230769231
TXO,202403,18500,Call,81,0.230769231
TXO,202403,18600,Call,65,0.230769231
TXO,202403,18700,Call,54,0.230769231
TXO,202403,18800,Call,49.5,0.230769231
TXO,202403,18900,Call,36.5,0.230769231
TXO,202403,19000,Call,30,0.230769231
TXO,202403,19100,Call,28,0.230769231
TXO,202403,19200,Call,22,0.230769231
TXO,202403,19300,Call,19,0.230769231
TXO,202403,19400,Call,16,0.230769231
TXO,202403,19500,Call,13,0.230769231
TXO,202403,19600,Call,11.5,0.230769231
TXO,202403,19700,Call,9.8,0.230769231
TXO,202403,19800,Call,8.6,0.230769231
TXO,202403,19900,Call,7.5,0.230769231
TXO,202403,20000,Call,6.8,0.230769231
TXO,202403,20100,Call,6.1,0.230769231
TXO,202403,20200,Call,5.6,0.230769231
TXO,202403,20300,Call,5.1,0.230769231
TXO,202403,20400,Call,4.6,0.230769231
TXO,202403,20500,Call,4.2,0.230769231
TXO,202403,20600,Call,3.9,0.230769231
TXO,202403,20700,Call,3.6,0.230769231
TXO,202403,20800,Call,3.3,0.230769231
TXO,202403,21000,Call,2.9,0.230769231
TXO,202403,21200,Call,2.5,0.230769231
TXO,202403,21400,Call,2.2,0.230769231
TXO,202406,16000,Call,1690,0.5
TXO,202406,16200,Call,1510,0.5
TXO,202406,16400,Call,1360,0.5
TXO,202406,16600,Call,1210,0.5
TXO,202406,16800,Call,1070,0.5
TXO,202406,17000,Call,935,0.5
TXO,202406,17200,Call,805,0.5
TXO,202406,17400,Call,695,0.5
TXO,202406,17600,Call,590,0.5
TXO,202406,17800,Call,492,0.5
TXO,202406,18000,Call,399,0.5
TXO,202406,18200,Call,326,0.5
TXO,202406,18400,Call,269,0.5
TXO,202406,18600,Call,219,0.5
TXO,202406,18800,Call,169,0.5
TXO,202406,19000,Call,131,0.5
TXO,202406,19200,Call,100,0.5
TXO,202406,19400,Call,73,0.5
TXO,202406,19600,Call,64,0.5
TXO,202406,19800,Call,50,0.5
TXO,202406,20000,Call,32,0.5
TXO,202406,20200,Call,31,0.5
TXO,202406,20400,Call,24.5,0.5
TXO,202406,20600,Call,19.5,0.5
TXO,202406,20800,Call,15.5,0.5
TXO,202406,21000,Call,12.5,0.5
TXO,202406,21200,Call,11,0.5
TXO,202406,21400,Call,9.3,0.5
TXO,202406,21600,Call,8.1,0.5
TXO,202409,16800,Call,1050,0.75
TXO,202409,17000,Call,935,0.75
TXO,202409,17200,Call,820,0.75
TXO,202409,17400,Call,725,0.75
TXO,202409,17600,Call,640,0.75
TXO,202409,17800,Call,555,0.75
TXO,202409,18000,Call,483,0.75
TXO,202409,18200,Call,412,0.75
TXO,202409,18400,Call,348,0.75
TXO,202409,18600,Call,291,0.75
TXO,202409,18800,Call,241,0.75
TXO,202409,19000,Call,195,0.75
TXO,202409,19200,Call,160,0.75
TXO,202409,19400,Call,131,0.75
TXO,202409,19600,Call,107,0.75
TXO,202409,19800,Call,86,0.75
TXO,202409,20000,Call,71,0.75
TXO,202409,20200,Call,60,0.75
TXO,202409,20400,Call,51,0.75
TXO,202409,20600,Call,43,0.75
TXO,202409,20800,Call,36,0.75
TXO,202409,21000,Call,30.5,0.75
TXO,202409,21200,Call,26,0.75
TXO,202409,21400,Call,22,0.75
TXO,202409,21600,Call,18.5,0.75