日期,價平買權次週每日結算價,價平買權近週每日結算價,價平賣權次週每日結算價,價平賣權近週每日結算價
2020/1/2,68.0,102.0,56.0,0.1
2020/1/3,,52.0,,56.0
2020/1/6,,5.4,,147.0
2020/1/7,,0.6,,225.0
2020/1/8,136.0,0.1,99.0,260.0
2020/1/9,,247.0,,29.0
2020/1/10,,284.0,,20.0
2020/1/13,,370.0,,1.5
2020/1/14,,431.0,,0.9
2020/1/15,101.0,313.0,86.0,0.1
2020/1/16,,99.0,,84.0
2020/1/17,,100.0,,66.0
2020/1/20,,120.0,,47.5
2020/1/30,186.0,0.2,95.0,615.0
2020/1/31,,228.0,,42.5
2020/2/3,,115.0,,76.0
2020/2/4,,258.0,,7.9
2020/2/5,149.0,260.0,96.0,0.1
2020/2/6,,278.0,,28.5
2020/2/7,,161.0,,56.0
2020/2/10,,126.0,,44.0
2020/2/11,,187.0,,8.4
2020/2/12,110.0,293.0,90.0,0.2
2020/2/13,,105.0,,79.0
2020/2/14,,108.0,,47.0
2020/2/17,,61.0,,40.5
2020/2/18,,8.2,,117.0
2020/2/19,105.0,10.0,80.0,0.1
2020/2/20,,69.0,,92.0
2020/2/21,,41.5,,116.0
2020/2/24,,5.1,,232.0
2020/2/25,,1.7,,202.0
2020/2/26,144.0,0.1,111.0,317.0
2020/2/27,,76.0,,187.0
2020/3/2,,17.5,,222.0
2020/3/3,,24.5,,89.0
2020/3/4,138.0,0.1,110.0,21.0
2020/3/5,,202.0,,44.5
2020/3/6,,84.0,,146.0
2020/3/9,,7.5,,385.0
2020/3/10,,1.3,,340.0
2020/3/11,200.0,0.2,178.0,443.0
2020/3/12,,32.5,,468.0
2020/3/13,,19.5,,785.0
2020/3/16,,1.5,,1120.0
2020/3/17,,0.1,,1430.0
2020/3/18,417.0,0.3,285.0,1490.0
2020/3/19,,146.0,,565.0
2020/3/20,,370.0,,160.0
2020/3/23,,141.0,,260.0
2020/3/24,,427.0,,9.5
2020/3/25,308.0,715.0,194.0,0.2
2020/3/26,,324.0,,154.0
2020/3/27,,251.0,,154.0
2020/3/30,,203.0,,91.0
2020/3/31,,160.0,,34.5
2020/4/1,265.0,134.0,185.0,0.1
2020/4/6,,326.0,,16.0
2020/4/7,,465.0,,1.4
2020/4/8,180.0,565.0,152.0,0.1
2020/4/9,,142.0,,142.0
2020/4/10,,133.0,,99.0
2020/4/13,,82.0,,106.0
2020/4/14,,250.0,,4.4
2020/4/15,198.0,351.0,110.0,0.1
2020/4/16,,169.0,,101.0
2020/4/17,,330.0,,26.5
2020/4/20,,256.0,,22.0
2020/4/21,,63.0,,84.0
2020/4/22,218.0,0.2,118.0,15.0
2020/4/23,,238.0,,64.0
2020/4/24,,210.0,,59.0
2020/4/27,,401.0,,5.2
2020/4/28,,426.0,,0.8
2020/4/29,150.0,555.0,103.0,0.1
2020/4/30,,310.0,,27.0
2020/5/4,,84.0,,115.0
2020/5/5,,104.0,,25.0
2020/5/6,160.0,57.0,111.0,0.1
2020/5/7,,188.0,,63.0
2020/5/8,,213.0,,38.0
2020/5/11,,266.0,,10.5
2020/5/12,,153.0,,7.4
2020/5/13,131.0,174.0,117.0,0.1
2020/5/14,,56.0,,206.0
2020/5/15,,63.0,,143.0
2020/5/18,,28.0,,165.0
2020/5/19,,35.0,,66.0
2020/5/20,135.0,0.1,93.0,13.0
2020/5/21,,178.0,,46.5
2020/5/22,,65.0,,125.0
2020/5/25,,61.0,,52.0
2020/5/26,,164.0,,6.7
2020/5/27,139.0,160.0,86.0,0.1
2020/5/28,,101.0,,108.0
2020/5/29,,86.0,,91.0
2020/6/1,,151.0,,21.5
2020/6/2,,187.0,,6.5
2020/6/3,141.0,371.0,90.0,0.2
2020/6/4,,182.0,,56.0
2020/6/5,,245.0,,20.0
2020/6/8,,341.0,,4.7
2020/6/9,,380.0,,1.1
2020/6/10,127.0,463.0,123.0,0.1
2020/6/11,,34.0,,243.0
2020/6/12,,14.0,,323.0
2020/6/15,,1.8,,475.0
2020/6/16,,7.7,,183.0
2020/6/17,217.0,0.2,66.0,179.0
2020/6/18,,235.0,,42.0
2020/6/19,,231.0,,27.0
2020/6/22,,230.0,,13.0
2020/6/23,,260.0,,3.2
2020/6/24,191.0,302.0,55.0,0.2
2020/6/29,,65.0,,85.0
2020/6/30,,102.0,,11.0
2020/7/1,164.0,203.0,60.0,0.2
2020/7/2,,276.0,,23.0
2020/7/3,,398.0,,10.0
2020/7/6,,615.0,,2.1
2020/7/7,,575.0,,0.6
2020/7/8,138.0,655.0,110.0,0.1
2020/7/9,,136.0,,85.0
2020/7/10,,54.0,,159.0
2020/7/13,,135.0,,29.5
2020/7/14,,109.0,,21.0
2020/7/15,228.0,120.0,68.0,0.1
2020/7/16,,177.0,,65.0
2020/7/17,,164.0,,44.5
2020/7/20,,144.0,,25.5
2020/7/21,,370.0,,1.8
2020/7/22,186.0,401.0,63.0,0.2
2020/7/23,,160.0,,70.0
2020/7/24,,88.0,,134.0
2020/7/27,,319.0,,15.0
2020/7/28,,272.0,,11.5
2020/7/29,205.0,229.0,97.0,0.1
2020/7/30,,320.0,,47.0
2020/7/31,,301.0,,45.5
2020/8/3,,171.0,,43.0
2020/8/4,,314.0,,2.1
2020/8/5,176.0,393.0,85.0,0.1
2020/8/6,,237.0,,54.0
2020/8/7,,170.0,,62.0
2020/8/10,,221.0,,20.0
2020/8/11,,97.0,,25.0
2020/8/12,130.0,0.2,121.0,40.5
2020/8/13,,155.0,,77.0
2020/8/14,,183.0,,42.5
2020/8/17,,311.0,,6.5
2020/8/18,,230.0,,3.3
2020/8/19,139.0,156.0,101.0,0.1
2020/8/20,,18.5,,423.0
2020/8/21,,32.0,,187.0
2020/8/24,,27.5,,137.0
2020/8/25,,61.0,,38.0
2020/8/26,165.0,49.5,92.0,0.2
2020/8/27,,131.0,,94.0
2020/8/28,,88.0,,115.0
2020/8/31,,28.0,,155.0
2020/9/1,,26.5,,67.0
2020/9/2,165.0,0.2,101.0,82.0
2020/9/3,,174.0,,75.0
2020/9/4,,98.0,,120.0
2020/9/7,,52.0,,102.0
2020/9/8,,68.0,32.0,32.0
2020/9/9,175.0,0.1,124.0,58.0
2020/9/10,,211.0,,63.0
2020/9/11,,175.0,,61.0
2020/9/14,,246.0,,11.5
2020/9/15,,296.0,,2.8
2020/9/16,138.0,418.0,107.0,0.1
2020/9/17,,79.0,,128.0
2020/9/18,,73.0,,100.0
2020/9/21,,16.0,,196.0
2020/9/22,,1.9,,276.0
2020/9/23,182.0,0.2,84.0,323.0
2020/9/24,,23.0,,274.0
2020/9/25,,13.0,,271.0
2020/9/28,,42.0,,82.0
2020/9/29,,23.0,,69.0
2020/9/30,150.0,28.5,94.0,0.1
2020/10/5,,142.0,,30.0
2020/10/6,,256.0,,1.4
2020/10/7,112.0,309.0,84.0,0.3
2020/10/8,,187.0,,41.0
2020/10/12,,209.0,,9.0
2020/10/13,,208.0,,2.6
2020/10/14,135.0,150.0,94.0,0.1
2020/10/15,,100.0,,106.0
2020/10/16,,42.5,,143.0
2020/10/19,,85.0,,39.0
2020/10/20,,46.0,40.5,40.5
2020/10/21,134.0,10.0,82.0,0.1
2020/10/22,,146.0,,54.0
2020/10/23,,126.0,,30.0
2020/10/26,,128.0,,16.0
2020/10/27,,80.0,,13.0
2020/10/28,183.0,0.2,90.0,28.5
2020/10/29,,101.0,,144.0
2020/10/30,,30.5,,251.0
2020/11/2,,38.0,,152.0
2020/11/3,,86.0,,52.0
2020/11/4,162.0,165.0,114.0,0.1
2020/11/5,,140.0,,72.0
2020/11/6,,153.0,,48.5
2020/11/9,,294.0,,4.8
2020/11/10,,240.0,,2.3
2020/11/11,127.0,399.0,116.0,0.3
2020/11/12,,91.0,,113.0
2020/11/13,,105.0,,71.0
2020/11/16,,334.0,,5.0
2020/11/17,,375.0,,1.9
2020/11/18,132.0,510.0,99.0,0.2
2020/11/19,,139.0,,72.0
2020/11/20,,121.0,,62.0
2020/11/23,,212.0,,11.5
2020/11/24,,129.0,,8.7
2020/11/25,125.0,53.0,98.0,0.2
2020/11/26,,186.0,,29.0
2020/11/27,,208.0,,17.5
2020/11/30,,97.0,,44.0
2020/12/1,,196.0,,3.9
2020/12/2,127.0,280.0,101.0,0.1
2020/12/3,,123.0,,72.0
2020/12/4,,232.0,,25.5
2020/12/7,,312.0,,5.8
2020/12/8,,410.0,,1.0
2020/12/9,144.0,449.0,97.0,0.2
2020/12/10,,60.0,,170.0
2020/12/11,,41.0,,154.0
2020/12/14,,16.0,,163.0
2020/12/15,,1.2,,270.0
2020/12/16,180.0,0.1,63.0,27.0
2020/12/17,,180.0,,41.0
2020/12/18,,134.0,,52.0
2020/12/21,,254.0,,7.3
2020/12/22,,55.0,,75.0
2020/12/23,158.0,84.0,83.0,0.1
2020/12/24,,220.0,,29.0
2020/12/25,,261.0,,13.5
2020/12/28,,387.0,,4.0
2020/12/29,,405.0,,0.8
2020/12/30,143.0,540.0,78.0,0.3
2020/12/31,,170.0,,51.0
2021/1/4,,306.0,,7.4
2021/1/5,,411.0,,1.5
2021/1/6,171.0,335.0,136.0,0.2
2021/1/7,,377.0,,32.0
2021/1/8,,580.0,,16.5
2021/1/11,,660.0,,4.5
2021/1/12,,615.0,,2.2
2021/1/13,180.0,860.0,168.0,0.1
2021/1/14,,146.0,,168.0
2021/1/15,,88.0,,203.0
2021/1/18,,43.0,,186.0
2021/1/19,,167.0,,26.0
2021/1/20,226.0,16.0,143.0,0.1
2021/1/21,,498.0,,40.5
2021/1/22,,354.0,,40.0
2021/1/25,,287.0,,32.0
2021/1/26,,70.0,,88.0
2021/1/27,194.0,49.0,153.0,0.1
2021/1/28,,67.0,,299.0
2021/1/29,,8.4,,550.0
2021/2/1,,16.5,,272.0
2021/2/2,,144.0,,35.0
2021/2/3,239.0,117.0,216.0,0.1
2021/2/4,,163.0,,217.0
2021/2/5,,195.0,,143.0
2021/2/17,222.0,580.0,134.0,0.3
2021/2/18,,223.0,,101.0
2021/2/19,,166.0,,107.0
2021/2/22,,190.0,,59.0
2021/2/23,,211.0,,19.5
2021/2/24,227.0,0.1,147.0,64.0
2021/2/25,,340.0,,52.0
2021/2/26,,88.0,,244.0
2021/3/2,,16.5,,221.0
2021/3/3,220.0,33.0,162.0,0.1
2021/3/4,,89.0,,280.0
2021/3/5,,48.5,,314.0
2021/3/8,,17.0,,321.0
2021/3/9,,5.3,,299.0
2021/3/10,201.0,0.1,174.0,273.0
2021/3/11,,373.0,,55.0
2021/3/12,,397.0,,21.0
2021/3/15,,365.0,,12.5
2021/3/16,,460.0,,1.6
2021/3/17,170.0,345.0,105.0,0.1
2021/3/18,,194.0,,66.0
2021/3/19,,68.0,,158.0
2021/3/22,,98.0,,77.0
2021/3/23,,71.0,,56.0
2021/3/24,178.0,0.2,114.0,121.0
2021/3/25,,190.0,,76.0
2021/3/26,,378.0,,15.0
2021/3/29,,495.0,,5.7
2021/3/30,,590.0,,0.6
2021/3/31,144.0,494.0,90.0,0.1
2021/4/1,,214.0,,41.5
2021/4/6,,343.0,,0.7
2021/4/7,142.0,390.0,101.0,0.1
2021/4/8,,225.0,,31.5
2021/4/9,,159.0,,51.0
2021/4/12,,133.0,,33.0
2021/4/13,,90.0,,25.0
2021/4/14,141.0,67.0,130.0,0.2
2021/4/15,,281.0,,58.0
2021/4/16,,327.0,,21.0
2021/4/19,,425.0,,5.3
2021/4/20,,475.0,,1.7
2021/4/21,195.0,381.0,115.0,0.2
2021/4/22,,166.0,,119.0
2021/4/23,,232.0,,47.5
2021/4/26,,462.0,,6.8
2021/4/27,,505.0,,1.1
2021/4/28,176.0,444.0,115.0,0.1
2021/4/29,,172.0,,78.0
2021/5/3,,19.0,,233.0
2021/5/4,,0.9,,535.0
2021/5/5,222.0,0.1,183.0,610.0
2021/5/6,,297.0,,86.0
2021/5/7,,560.0,,13.5
2021/5/10,,500.0,,5.1
2021/5/11,,49.0,,193.0
2021/5/12,429.0,0.5,332.0,855.0
2021/5/13,,259.0,,295.0
2021/5/14,,334.0,,168.0
2021/5/17,,76.0,,414.0
2021/5/18,,565.0,,18.5
2021/5/19,316.0,540.0,258.0,0.2
2021/5/20,,260.0,,245.0
2021/5/21,,402.0,,108.0
2021/5/24,,385.0,,62.0
2021/5/25,,600.0,,5.1
2021/5/26,214.0,635.0,172.0,0.2
2021/5/27,,163.0,,204.0
2021/5/28,,343.0,,62.0
2021/5/31,,454.0,,20.5
2021/6/1,,560.0,,2.0
2021/6/2,236.0,530.0,157.0,0.2
2021/6/3,,290.0,,88.0
2021/6/4,,201.0,,122.0
2021/6/7,,164.0,,99.0
2021/6/8,,112.0,,50.0
2021/6/9,184.0,0.1,173.0,103.0
2021/6/10,,274.0,,64.0
2021/6/11,,301.0,,32.0
2021/6/15,,450.0,,2.4
2021/6/16,216.0,397.0,98.0,0.1
2021/6/17,,253.0,,63.0
2021/6/18,,201.0,,64.0
2021/6/21,,47.5,,178.0
2021/6/22,,32.0,,99.0
2021/6/23,208.0,147.0,116.0,0.1
2021/6/24,,231.0,,69.0
2021/6/25,,280.0,,41.0
2021/6/28,,354.0,,11.0
2021/6/29,,358.0,,3.5
2021/6/30,172.0,491.0,108.0,0.2
2021/7/1,,134.0,,124.0
2021/7/2,,113.0,,110.0
2021/7/5,,245.0,,18.5
2021/7/6,,225.0,,8.3
2021/7/7,173.0,100.0,117.0,0.3
2021/7/8,,153.0,,105.0
2021/7/9,,65.0,,173.0
2021/7/12,,106.0,,70.0
2021/7/13,,103.0,,34.5
2021/7/14,165.0,0.2,141.0,4.3
2021/7/15,,244.0,,72.0
2021/7/16,,145.0,,70.0
2021/7/19,,68.0,,124.0
2021/7/20,,4.2,,295.0
2021/7/21,288.0,0.4,118.0,420.0
2021/7/22,,319.0,,47.0
2021/7/23,,313.0,,37.5
2021/7/26,,153.0,,55.0
2021/7/27,,85.0,,53.0
2021/7/28,269.0,0.3,153.0,178.0
2021/7/29,,485.0,,30.0
2021/7/30,,358.0,,55.0
2021/8/2,,575.0,,5.9
2021/8/3,,600.0,,1.8
2021/8/4,174.0,655.0,108.0,655.0
2021/8/5,,147.0,,104.0
2021/8/6,,82.0,,143.0
2021/8/9,,41.5,,139.0
2021/8/10,,3.0,,217.0
2021/8/11,169.0,0.1,146.0,379.0
2021/8/12,,143.0,,133.0
2021/8/13,,39.0,,255.0
2021/8/16,,7.0,,388.0
2021/8/17,,1.4,,575.0
2021/8/18,194.0,0.1,123.0,362.0
2021/8/19,,47.5,,351.0
2021/8/20,,18.0,,463.0
2021/8/23,,127.0,,86.0
2021/8/24,,157.0,,22.0
2021/8/25,183.0,309.0,139.0,0.1
2021/8/26,,198.0,,112.0
2021/8/27,,297.0,,46.0
2021/8/30,,425.0,,8.4
2021/8/31,,530.0,,1.7
2021/9/1,174.0,545.0,121.0,0.2
2021/9/2,,84.0,,195.0
2021/9/3,,165.0,,91.0
2021/9/6,,114.0,,62.0
2021/9/7,,52.0,,64.0
2021/9/8,167.0,0.1,159.0,258.0
2021/9/9,,146.0,,156.0
2021/9/10,,271.0,,43.5
2021/9/13,,220.0,,30.0
2021/9/14,,220.0,,9.5
2021/9/15,156.0,132.0,102.0,0.1
2021/9/16,,97.0,,117.0
2021/9/17,,94.0,,79.0
2021/9/22,194.0,0.1,174.0,383.0
2021/9/23,,270.0,,65.0
2021/9/24,,382.0,,21.5
2021/9/27,,415.0,,6.3
2021/9/28,,292.0,,5.4
2021/9/29,202.0,0.1,163.0,76.0
2021/9/30,,240.0,,96.0
2021/10/1,,46.0,,296.0
2021/10/4,,8.7,,418.0
2021/10/5,,1.9,,381.0
2021/10/6,198.0,0.1,172.0,438.0
2021/10/7,,409.0,,50.0
2021/10/8,,338.0,,53.0
2021/10/12,,130.0,,50.0
2021/10/13,216.0,20.0,194.0,0.1
2021/10/14,,222.0,,118.0
2021/10/15,,496.0,,15.5
2021/10/18,,430.0,,9.3
2021/10/19,,605.0,,1.4
2021/10/20,180.0,585.0,113.0,0.1
2021/10/21,,119.0,,131.0
2021/10/22,,120.0,,95.0
2021/10/25,,116.0,,50.0
2021/10/26,,215.0,,7.1
2021/10/27,151.0,207.0,114.0,0.1
2021/10/28,,117.0,,111.0
2021/10/29,,67.0,,151.0
