年月,SMB,HML,rm
201001,-0.8170882903300356,-1.2462613958468003,-6.6886
201002,0.8596110835922477,-1.2603191834233847,-2.6745
201003,5.837776308490974,0.7328437193233945,6.5083
201004,1.0615745667735665,-1.8576054788380223,1.063
201005,-1.2527636605089576,-2.7036589209131723,-7.8742
201006,1.5265845956672193,0.8681978669449611,-0.605
201007,-0.7133316799968057,-2.392081201400079,5.884
201008,-2.3663957379480705,-2.114276902183669,-1.86
201009,-1.165640219414077,2.4855242973139493,8.1602
201010,-3.263703729880038,-3.3807444050311943,0.5986
201011,-3.9226298614798965,-4.770932446684469,1.0304
201012,-3.140021916914476,1.353830781351581,7.1666
201101,-1.527030537733829,-2.831527286102203,1.9264
201102,1.0314903465459144,-5.403461900394582,-5.967
201103,-2.101540694088415,-3.253260943666545,0.9727
201104,-1.9227688412627337,-6.564098337559825,3.7379
201105,-0.8069854806531369,-1.9163649320818452,-0.2113
201106,-0.1500564423472741,-3.676969091064889,-3.7407
201107,-4.350660762540738,-9.91860983204246,-0.0972
201108,-2.17961911784597,-4.638435246539764,-10.4443
201109,-1.3870293186941565,-1.875387472815337,-6.6652
201110,-0.6395608182449184,-1.371776451857822,5.0144
201111,-5.007453117809635,-4.979363842391056,-9.0089
201112,-0.46447319555926514,-2.449042615275888,2.4328
201201,0.5220775689208059,2.810189287708738,6.2923
201202,6.050934026617382,2.6313448172061786,8.0398
201203,-0.34689267767350573,-8.194442616506525,-2.3203
201204,-2.2306841009475127,-3.6195843274465824,-5.4365
201205,-0.2300315160566866,-2.839794473121521,-2.669
201206,-0.4299191107282436,-0.9789345987859851,-0.0715
201207,-2.90578587672843,-6.070695295574003,-0.3535
201208,2.262629565670232,-2.4314402142000544,1.7409
201209,0.3295505645343768,1.2158606234028628,4.3004
201210,-4.788805707940452,-6.700600775534933,-7.1173
201211,-1.736206862830886,0.7238057391307855,5.7789
201212,3.109448059170679,4.7060104008486165,1.5742
201301,0.2426470727718475,-1.6101696414280526,1.9549
201302,0.8507228934706497,1.1593371603000742,0.611
201303,2.199077598128905,0.17901975310924845,0.2612
201304,-2.6699580204779245,-5.889121126232626,2.2106
201305,4.712104315623381,3.317982867312419,1.9909
201306,-2.4159047028458724,-5.195941268561294,-2.3331
201307,1.2329928184510472,-0.3999829002417554,0.5672
201308,1.1706860529124834,0.4416820739891832,-1.0613
201309,0.7493690419032091,0.7973669457387147,1.8946
201310,-0.14524446222687803,-5.723128770086385,3.3789
201311,-0.3549405572789728,-2.3953482598409073,-0.5116
201312,3.2015344173310587,0.08331929712785824,2.4347
201401,2.5433917615557524,1.0975389106339186,-1.7295
201402,4.067166486403151,-2.6223362593072004,2.0917
201403,-0.12852802752447046,-4.781430343073677,2.4272
201404,-3.2255427866822517,-2.384207961997225,-0.6536
201405,-0.006620830609008976,0.2579717931309493,3.2358
201406,-1.2932052370642815,-1.0172180667517683,3.4945
201407,-1.2455082258308745,3.5225457661072657,-0.8221
201408,-3.385030381959398,-3.3030098932076966,1.2926
201409,1.946475460339796,-1.14471963518176,-4.9739
201410,-7.684056614136445,-2.2689975728871037,0.0874
201411,-3.0676213494889977,-5.221938674487719,2.3665
201412,5.262868283854639,2.0558033125383517,1.3074
201501,-0.43645101443931106,-1.3585817180748898,0.5872
201502,-2.567860148824575,-2.692036785177957,2.7792
201503,1.319877010191119,-0.7518818465484446,-0.3706
201504,-2.0059666181131863,-1.324993103152928,2.4369
201505,-5.605044685331918,-1.4755550636390524,-1.2116
201506,-4.125732046348375,-8.465227012776756,-3.897
201507,-4.329241257119842,-6.563683954796839,-7.0544
201508,-2.8384790651515157,-3.337375537547551,-5.6596
201509,7.48556073325778,1.1067406425784079,0.0773
201510,2.6352586529353994,0.6438023579717154,4.5601
201511,0.2168124730066785,-5.632961547815941,-2.732
201512,1.1471031613012748,-0.34042830044760275,0.2097
201601,-0.4056320325310656,-3.6686259011692424,-2.3129
201602,1.151697672214814,-0.7926155423721304,3.2651
201603,-2.103668155721129,-1.169466565913996,3.967
201604,-0.296848106724672,-1.1421416235313595,-4.196
201605,-2.3485829259111632,-4.743498301939647,1.8822
201606,-1.9299523161714027,-1.5360596771517652,1.5346
201607,-2.2008671109390416,-1.0137436177332297,3.6673
201608,0.39527713478705895,-2.4787278384929228,0.9399
201609,-0.8997097719281907,-2.0042754659713315,1.0806
201610,-4.167319818328337,-2.1042968750176105,1.3447
201611,0.08318596500542591,2.8197772096401037,-0.5319
201612,1.5849831076722678,0.26807349211647263,0.1384
201701,0.0011752549119630196,0.7953248420040642,2.1014
201702,3.2609847154601943,2.153156952993459,3.202
201703,1.0213380374179994,-1.1305745483543912,0.6261
201704,-1.6496144271725859,-3.2326561928427893,0.6164
201705,-2.13603512706141,-3.9925552375007944,1.7091
201706,-3.2129563056703736,-1.0168429753104524,3.5291
201707,-1.341295004934541,-2.757964565705711,0.3103
201708,0.5835624732221696,-0.48985059642268736,1.5196
201709,2.449124011490938,-0.7899342827824001,-1.9067
201710,-2.532884189698553,-4.6480036753125775,3.9471
201711,2.102610611309172,2.692951873222823,-2.162
201712,-0.24703844870459468,-0.2401981610874948,0.7805
201801,-3.47839668955528,-4.877893205944757,4.3309
201802,0.6951684359619006,0.1703790695292966,-2.5966
201803,1.1359672682107613,-2.248677442337854,0.9618
201804,-0.9513431513299466,2.727731319541339,-2.3958
201805,-1.628103190841579,-2.2316633351549084,2.0368
201806,0.44086947234623397,-3.683175126325793,-0.3499
201807,-6.067683712730268,-2.7964687219270843,2.0356
201808,-2.234430825541992,-0.8328084810787177,0.0582
201809,-3.067480965901949,-2.147503387846207,-0.5206
201810,-3.3521571853406424,-3.5571430890601636,-10.9411
201811,8.025088280140585,1.2556618018118009,0.8763
201812,1.074329866279649,-1.9535589015855366,-1.6244
201901,-0.10544511127131528,-1.465733197783035,2.1059
201902,-0.5273746399460713,-3.662739997852169,4.6003
201903,-0.3396242668622258,-2.5515932181090193,2.4244
201904,-2.8647284608036765,-1.862820080176133,3.0701
201905,0.8749898936255969,-2.7604516662432017,-4.2784
201906,-1.5082353010016707,-0.36992546286827066,2.2131
201907,-0.39299517674907314,-3.255643894249056,0.8665
201908,0.5553571525866003,-2.922703240904246,-1.901
201909,-1.5828094773243988,-2.965739446177733,1.9931
201910,-4.063589932375596,-3.084961450547595,4.885
201911,-1.460602902323544,0.30972012683466676,1.1521
201912,-1.719439865010194,-4.530210289803458,4.4177
202001,-1.506698791269423,-1.1876773511280767,-4.1847
202002,-0.3149697393237154,-0.8881604515104427,-1.7654
202003,-4.132509638188395,-5.933739739655447,-14.0284
202004,5.344940456004327,-0.30226175830473423,13.2269
202005,4.260334357523422,-1.4771292309211717,-0.4547
202006,-1.2287413981171182,-3.7815676252402195,6.2061
202007,-11.06740567313798,-21.31069904700788,8.9798
202008,4.928833614439401,3.3265942533205406,-0.5792
202009,-0.5879859690650121,-1.9230343917729962,-0.6023
202010,0.8937839687064423,-0.11931577475536792,0.2455
202011,-0.7066741603441979,-3.7609989108205406,9.3776
202012,-3.8984299168601417,-3.2893540320088386,7.3573
202101,-10.46530069925122,-13.32621600432699,2.7543
202102,3.0198354117187973,3.1973052707322367,5.3869
202103,3.683895541019014,7.175123457632374,2.992
202104,1.179542359026886,-0.22498066864827138,6.9109
202105,-6.218637945109844,-2.196010380497795,-2.8363
202106,-1.0926774783071007,-10.27336183071346,4.0252
202107,1.5610650416352752,2.701581422684495,-2.8614
202108,-5.153267844236447,-1.158348221420784,1.4082
202109,1.5895775746591845,2.389357380242962,-3.1762
202110,0.1293731806079793,-1.8516857438359098,0.3109
202111,0.38575672137281236,-3.66330408573872,2.592
202112,-0.18786820035536067,-1.8844732025969497,4.5394
202201,-4.506501008923502,-0.2529174802651353,-2.9882
202202,2.1716224959006594,1.493761366086707,-0.1258
202203,0.7413423397458181,3.4455065052799125,0.2342
202204,1.305293951466032,2.867061712324724,-6.2242
202205,-1.006424212792737,-4.830900967969365,1.2994
202206,3.2524789239122702,1.7646981124002554,-11.7924
202207,-0.5983008910452523,-5.055535185452943,1.176
202208,5.47199367687543,0.9668212438415149,0.6357
202209,1.0376341760038859,2.0732430197727965,-11.0687
202210,-0.8673081943214265,3.5922016658204807,-3.537
202211,-5.68540083672343,-13.12425051527682,14.9024
202212,3.2121947298769795,4.01953362744839,-4.986
202301,-5.201714613008344,-9.28331210363137,7.9752
202302,4.549392941772509,2.231402552817205,1.5631
202303,0.6672171403543925,-4.580267561868979,2.3494
202304,3.4607182265523657,3.1402136390707325,-1.8206
202305,-4.569674097971349,-7.94889710514239,6.4174
202306,-0.03657270161794335,-2.539880734139896,2.0302
202307,-3.7507841272176723,-2.3247671430264276,1.3591
202308,-0.09652816911814455,-0.952760486119751,-2.9801
202309,1.8099796300406301,1.3547974160989293,-1.6878
202310,-0.04647981004787605,-2.501113456637955,-2.1554
202311,-0.03327432242219963,-4.216089461896012,8.953
202312,-1.1168799764121526,1.1393410424053454,1.8236
